# Copyright (c) 2026 GiantAccel, LLC
# XStats modifications Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later AND MIT
暂无数据	暫無資料
CPU 温度 {}	CPU 溫度 {}
CPU 温度 {}，已持续超过 1 分钟。可以检查高占用进程，或在“温度与风扇”里提高风扇转速。	CPU 溫度 {}，已持續超過 1 分鐘。可以檢查高佔用進程，或在“溫度與風扇”里提高風扇轉速。
CPU 温度偏高	CPU 溫度偏高
CPU 温度持续 1 分钟高于设定值	CPU 溫度持續 1 分鐘高於設定值
CPU 温度达到 {}，已恢复系统自动控制	CPU 溫度達到 {}，已恢復系統自動控制
CPU 温度过高	CPU 溫度過高
CPU 负载偏高	CPU 負載偏高
CPU 负载很高	CPU 負載很高
CPU 过热	CPU 過熱
CPU：{}（以单核满载为 100%）	CPU：{}（以單核滿載為 100%）
Cloudflare 接入节点（机场代码）	Cloudflare 接入節點（機場代碼）
Cloudflare（1.1.1.1）	Cloudflare（1.1.1.1）
CoreSimulator 的动态库与运行时缓存	CoreSimulator 的動態庫與運行時緩存
DNS 地址格式不正确	DNS 地址格式不正確
DNS 已设置为 {}	DNS 已設置為 {}
DNS 缓存已刷新	DNS 緩存已刷新
DerivedData，下次编译时自动重建	DerivedData，下次編譯時自動重建
GPU 占用	GPU 佔用
Globalping 返回了错误（HTTP {}）	Globalping 返回了錯誤（HTTP {}）
Google（8.8.8.8）	Google（8.8.8.8）
IP 地址	IP 地址
IP 类型	IP 類型
IP 纯净度	IP 純淨度
IPv6 没有经过代理：只走 IPv6 的连接会直接暴露本机地址 {}。	IPv6 沒有經過代理：只走 IPv6 的連接會直接暴露本機地址 {}。
IPv6 连接也经过代理。	IPv6 連接也經過代理。
SMC [{}] 不支持的数据类型 {}	SMC [{}] 不支持的數據類型 {}
SMC [{}] 被固件拒绝 (0x{})	SMC [{}] 被固件拒絕 (0x{})
SMC [{}] 调用失败 ({})	SMC [{}] 調用失敗 ({})
SMC 通信与 Apple Silicon 风扇解锁流程移植自该项目 · MIT License	SMC 通信與 Apple Silicon 風扇解鎖流程移植自該項目 · MIT License
SSD 健康	SSD 健康
Time Machine 在备份之间会先在本机留下快照，它们占的空间计入“可清除”，系统缺空间时会自动删。手动删除不影响已完成的备份。	Time Machine 在備份之間會先在本機留下快照，它們佔的空間計入“可清除”，系統缺空間時會自動刪。手動刪除不影響已完成的備份。
VPN / 代理	VPN / 代理
VPN / 隧道	VPN / 隧道
VPN 不允许绕开它连接	VPN 不允許繞開它連接
VPN 不允许绕开它连接，读不到本机网络原本的出口。下方按出口列出各网站。	VPN 不允許繞開它連接，讀不到本機網絡原本的出口。下方按出口列出各網站。
VPN 隧道	VPN 隧道
WebDAV 地址发生重定向，请填写最终目录地址	WebDAV 地址發生重定向，請填寫最終目錄地址
WebDAV 存储空间不足	WebDAV 存儲空間不足
WebDAV 拒绝访问，请检查目录读写权限	WebDAV 拒絕訪問，請檢查目錄讀寫權限
WebDAV 目录不存在，请先在服务器上创建该目录	WebDAV 目錄不存在，請先在服務器上創建該目錄
WebDAV 目录地址	WebDAV 目錄地址
WebDAV 认证失败，请检查用户名和密码	WebDAV 認證失敗，請檢查用戶名和密碼
WebDAV 返回错误：{}	WebDAV 返回錯誤：{}
XStats {} 已发布	XStats {} 已發佈
XStats 基于 OpenStats 开发，感谢原项目的开源贡献 · MIT License	XStats 基於 OpenStats 開發，感謝原項目的開源貢獻 · MIT License
XStats 控制	XStats 控制
XStats 控制中	XStats 控制中
XStats 的通知被关闭了，打开的提醒不会显示。	XStats 的通知被關閉了，打開的提醒不會顯示。
XStats 辅助工具	XStats 輔助工具
XStats 通知测试	XStats 通知測試
XStats 防休眠	XStats 防休眠
XStats 需要授权以安装新版本。	XStats 需要授權以安裝新版本。
XStats 需要管理员权限来修改“{}”的 DNS。	XStats 需要管理員權限來修改“{}”的 DNS。
XStats 需要管理员权限来删除 Time Machine 本地快照。	XStats 需要管理員權限來刪除 Time Machine 本地快照。
XStats 需要管理员权限来刷新 DNS 缓存。	XStats 需要管理員權限來刷新 DNS 緩存。
XStats 需要管理员权限来释放内存。	XStats 需要管理員權限來釋放內存。
XStats-诊断-{}	XStats-診斷-{}
XStats-诊断-{}.zip	XStats-診斷-{}.zip
Xcode 归档	Xcode 歸檔
Xcode 编译缓存	Xcode 編譯緩存
cleanip.io 对这次评分的把握：各数据源结论越一致越高	cleanip.io 對這次評分的把握：各數據源結論越一致越高
macOS 系统目录（系统组件）	macOS 系統目錄（系統組件）
npm 缓存	npm 緩存
Go 缓存	Go 緩存
Rust 缓存	Rust 緩存
uv 缓存	uv 緩存
Yarn 缓存	Yarn 緩存
pnpm 缓存	pnpm 緩存
Bun 缓存	Bun 緩存
npm 下载缓存，由 npm 自行清理	npm 下載緩存，由 npm 自行清理
Yarn 全局与离线镜像缓存，由 Yarn 自行清理	Yarn 全局與離線鏡像緩存，由 Yarn 自行清理
pnpm 内容寻址存储，仅清理未被引用的包	pnpm 內容尋址存儲，僅清理未被引用的包
Bun 下载的包缓存，由 Bun 自行清理	Bun 下載的包緩存，由 Bun 自行清理
Go 编译与完整模块缓存，由 go clean 清理	Go 編譯與完整模組緩存，由 go clean 清理
Cargo 注册表与 Git 依赖缓存，需要 cargo-cache	Cargo 註冊表與 Git 依賴緩存，需要 cargo-cache
uv 下载的 Python 包与构建缓存，由 uv 自行清理	uv 下載的 Python 包與構建緩存，由 uv 自行清理
未找到 {}，无法安全清理	未找到 {}，無法安全清理
{} 清理失败（退出码 {}）	{} 清理失敗（退出碼 {}）
{} 清理失败（退出码 {}）：{}	{} 清理失敗（退出碼 {}）：{}
{}：未找到 {}，无法安全清理	{}：未找到 {}，無法安全清理
支持的内容先移到废纸篓；工具缓存由对应命令直接清理。	支持的內容先移到廢紙簍；工具緩存由對應命令直接清理。
支持的缓存可以恢复；工具缓存始终由对应命令直接清理	支持的緩存可以恢復；工具緩存始終由對應命令直接清理
{} {} 英寸	{} {} 英吋
{} · {} 个	{} · {} 個
{} · {} 核	{} · {} 核
{} · 约 {}	{} · 約 {}
{} · 负载 {}/{}	{} · 負載 {}/{}
{} 个	{} 個
{} 个传感器	{} 個傳感器
{} 个应用，系统自带的不列出	{} 個應用，系統自帶的不列出
{} 个网站	{} 個網站
{} 个进程	{} 個進程
{} 中位延迟	{} 中位延遲
{} 分钟	{} 分鐘
{} 可用 {} · 共 {}	{} 可用 {} · 共 {}
{} 天	{} 天
{} 天 {} 小时	{} 天 {} 小時
{} 小时	{} 小時
{} 小时 {} 分钟	{} 小時 {} 分鐘
{} 核	{} 核
{} 核图形处理器	{} 核圖形處理器
{} 正在运行	{} 正在運行
{} 正在运行，卸载前需要先退出。	{} 正在運行，卸載前需要先退出。
{} 测	{} 測
{} 秒	{} 秒
{} 秒 / {} MB	{} 秒 / {} MB
{} 秒·{} MB	{} 秒·{} MB
{} 组	{} 組
{} 缓存	{} 緩存
{} 英寸	{} 英吋
{} 项	{} 項
{} 项 · 可直接停用	{} 項 · 可直接停用
{} 项 · 需要管理员权限，只读	{} 項 · 需要管理員權限，只讀
{} 项失败	{} 項失敗
{}%（阈值 {}%）	{}%（閾值 {}%）
{}/{} 个节点连得上	{}/{} 個節點連得上
{}{}只剩 {}%，记得充电。	{}{}只剩 {}%，記得充電。
{}{}（{}）	{}{}（{}）
{}。系统会自动分配任务，不用你操心	{}。系統會自動分配任務，不用你操心
{}中	{}中
{}前	{}前
{}前检测	{}前檢測
{}后充满	{}後充滿
{}电量低	{}電量低
{}（{}）	{}（{}）
{}（代理接管）	{}（代理接管）
{}，{}，健康 {}	{}，{}，健康 {}
{}，后台{}	{}，後台{}
{}：{}	{}：{}
{}：{}/{} 个节点连得上	{}：{}/{} 個節點連得上
~/.npm/_cacache，安装依赖时自动重新下载	~/.npm/_cacache，安裝依賴時自動重新下載
~/Library/Caches 中各应用的缓存，删除后会按需重建	~/Library/Caches 中各應用的緩存，刪除後會按需重建
~/Library/Logs 中的日志和诊断报告	~/Library/Logs 中的日誌和診斷報告
· 结果反映 XStats 自己发出的请求，按应用分流的规则下其他应用可能走不同出口	· 結果反映 XStats 自己發出的請求，按應用分流的規則下其他應用可能走不同出口
“{}”只剩 {} 可用。可以用 XStats 的清理功能释放缓存。	“{}”只剩 {} 可用。可以用 XStats 的清理功能釋放緩存。
“{}”（{}）会移到废纸篓，可以从废纸篓放回。	“{}”（{}）會移到廢紙簍，可以從廢紙簍放回。
、	、
一般	一般
一键安装	一鍵安裝
上传	上傳
上传 {} · 下载 {}	上傳 {} · 下載 {}
上传与下载速度、IP 地址、DNS	上傳與下載速度、IP 地址、DNS
上传并覆盖	上傳並覆蓋
上传本机设置	上傳本機設置
上次同步：{}	上次同步：{}
上次更新：{}	上次更新：{}
上次检查 {}，最新 {}	上次檢查 {}，最新 {}
上次检查发现问题	上次檢查發現問題
上次检查正常	上次檢查正常
上次检查：{}	上次檢查：{}
上次成功：{}	上次成功：{}
最近刷新：{}	最近重新整理：{}
上行	上行
下行	下行
下载	下載
下载失败：{}	下載失敗：{}
下载并应用	下載並應用
下载目录中的 .dmg / .pkg / .xip / .iso，移到废纸篓	下載目錄中的 .dmg / .pkg / .xip / .iso，移到廢紙簍
不可用	不可用
不在允许清理的目录内	不在允許清理的目錄內
不在可卸载的位置：{}	不在可卸載的位置：{}
不提供电量	不提供電量
不支持 IPv6	不支持 IPv6
不是团队 {} 签名的完整应用（{}）	不是團隊 {} 簽名的完整應用（{}）
不是应用程序	不是應用程序
不是绝对路径	不是絕對路徑
不经过代理	不經過代理
不能删除清理目录本身	不能刪除清理目錄本身
不限	不限
不限时	不限時
与 30 秒前持平	與 30 秒前持平
丢包 {}%	丟包 {}%
严重	嚴重
中位延迟	中位延遲
中等负载	中等負載
中等风险	中等風險
中继	中繼
主显示器	主顯示器
主窗口与弹窗的配色；菜单栏始终跟随系统	主窗口與彈窗的配色；菜單欄始終跟隨系統
云端只保存邮箱、姓名与设置文档	雲端只保存郵箱、姓名與設置文檔
云端已有 {} 在 {} 保存的设置，和这台 Mac 上的不一样。要用哪一份？	雲端已有 {} 在 {} 保存的設置，和這台 Mac 上的不一樣。要用哪一份？
交换区	交換區
仅系统不休眠	僅系統不休眠
介质错误	介質錯誤
从左侧选择应用，或把应用拖到这里	從左側選擇應用，或把應用拖到這裡
从未	從未
从这个节点下载测速，上限 {}	從這個節點下載測速，上限 {}
代理	代理
代理出口	代理出口
代理出口不支持 IPv6，IPv6 连接也不会绕过代理泄露地址。	代理出口不支持 IPv6，IPv6 連接也不會繞過代理洩露地址。
代理出口（{}）	代理出口（{}）
代理方式	代理方式
代理没有生效	代理沒有生效
代理软件	代理軟件
以单核满载为 100%	以單核滿載為 100%
以后再说	以後再說
以系统权限运行的后台服务，只接受本应用的请求	以系統權限運行的後台服務，只接受本應用的請求
仪表盘	儀錶盤
企业	企業
企业 IP	企業 IP
企业网络	企業網絡
会一并找出它留在资源库里的缓存、偏好设置、容器与登录启动项，全部移到废纸篓，可以放回	會一並找出它留在資源庫里的緩存、偏好設置、容器與登錄啓動項，全部移到廢紙簍，可以放回
会结束这个应用的 {} 个进程，未保存的内容可能会丢失。强制退出会立即结束，不给应用保存的机会。	會結束這個應用的 {} 個進程，未保存的內容可能會丟失。強制退出會立即結束，不給應用保存的機會。
传输速率	傳輸速率
位置	位置
位置：{}	位置：{}
低负载	低負載
低风险	低風險
住宅 IP	住宅 IP
住宅代理	住宅代理
住宅宽带	住宅寬帶
住宅概率	住宅概率
余量 {}	餘量 {}
使用 {} 登录	使用 {} 登錄
使用云端设置	使用雲端設置
使用历史	使用歷史
使用电池	使用電池
使用电池且电量低于该值时，自动关闭合盖运行	使用電池且電量低於該值時，自動關閉合蓋運行
使用自己的 WebDAV 保存一份设置文件，仅手动上传和下载，不会自动合并。	使用自己的 WebDAV 保存一份設置文件，僅手動上傳和下載，不會自動合併。
例如 1.1.1.1, 8.8.8.8	例如 1.1.1.1, 8.8.8.8
保存配置	保存配置
保持唤醒	保持喚醒
保持运行	保持運行
信号强度	信號強度
修改 DNS 需要管理员权限：已安装辅助工具时直接修改，否则每次弹出系统授权框。	修改 DNS 需要管理員權限：已安裝輔助工具時直接修改，否則每次彈出系統授權框。
修改地址	修改地址
偏好设置	偏好設置
偏高	偏高
停止	停止
停用	停用
停用失败：{}	停用失敗：{}
健康 {}	健康 {}
健康度	健康度
健康度是现在充满时的容量与出厂容量之比，低于 80% 时苹果建议更换电池	健康度是現在充滿時的容量與出廠容量之比，低於 80% 時蘋果建議更換電池
充电上限可在系统设置中设为 80%–100%，长期接电源时有助于延缓电池老化	充電上限可在系統設置中設為 80%–100%，長期接電源時有助於延緩電池老化
充电中	充電中
充电盒	充電盒
全局代理	全局代理
全局快捷键（在任何应用中都能使用，需要包含 ⌘、⌥ 或 ⌃）	全局快捷鍵（在任何應用中都能使用，需要包含 ⌘、⌥ 或 ⌃）
全球探针看目标	全球探針看目標
全球节点	全球節點
全选	全選
全部	全部
全部删除	全部刪除
全部经代理	全部經代理
公网 IP	公網 IP
公网 IP 查询	公網 IP 查詢
公网 IPv4	公網 IPv4
公网 IPv6	公網 IPv6
共 {}	共 {}
共 {} 条记录	共 {} 條記錄
共 {}，{} 个条目 · {}	共 {}，{} 個條目 · {}
关	關
关于	關於
关于 XStats	關於 XStats
关闭	關閉
其他	其他
其他位置	其他位置
其他磁盘	其他磁盤
其他程序手动控制	其他程序手動控制
其他程序控制	其他程序控制
内存	內存
内存 {}	內存 {}
内存与图形	內存與圖形
内存压力严重	內存壓力嚴重
内存压力严重的时段：{} 个（图上红色标记）	內存壓力嚴重的時段：{} 個（圖上紅色標記）
内存压力偏高	內存壓力偏高
内存压力持续 30 秒处于严重，系统开始大量换页	內存壓力持續 30 秒處於嚴重，系統開始大量換頁
内存已整理	內存已整理
内存水位	內存水位
内存类型	內存類型
内存：{}	內存：{}
写入	寫入
出口	出口
出口与分流	出口與分流
出口与分流：检查 VPN 与代理是否生效、各网站从哪个出口出去	出口與分流：檢查 VPN 與代理是否生效、各網站從哪個出口出去
出口依据	出口依據
出口未知	出口未知
出现介质错误，建议备份	出現介質錯誤，建議備份
分别经物理网卡、系统代理与 VPN 隧道访问检测目标，约需 10 秒。	分別經物理網卡、系統代理與 VPN 隧道訪問檢測目標，約需 10 秒。
分流正常	分流正常
切换到浅色	切換到淺色
切换到深色	切換到深色
刚刚	剛剛
刚刚检测	剛剛檢測
刚刚被使用	剛剛被使用
删除	刪除
删除…	刪除…
删除中…	刪除中…
删除云端数据	刪除雲端數據
删除云端数据？	刪除雲端數據？
删除全部本地快照？	刪除全部本地快照？
删除账号、所有登录方式与云端保存的设置；这台 Mac 上的设置保留	刪除賬號、所有登錄方式與雲端保存的設置；這台 Mac 上的設置保留
到时后自动恢复系统默认的睡眠行为。	到時後自動恢復系統默認的睡眠行為。
刷新	刷新
刷新 DNS 缓存	刷新 DNS 緩存
刷新 DNS 缓存、释放内存、为网络服务设置 DNS 服务器	刷新 DNS 緩存、釋放內存、為網絡服務設置 DNS 服務器
刷新状态	刷新狀態
刷新间隔	刷新間隔
刷新频率	刷新頻率
剩余	剩餘
距重置	距重置
剩余 {}	剩餘 {}
剩余寿命	剩餘壽命
剩余寿命 {}% · 已写入 {}	剩餘壽命 {}% · 已寫入 {}
剪切	剪切
功耗	功耗
包名是 {}	包名是 {}
包含城市数据	包含城市數據
协议版本	協議版本
单个节点一次测速最多花的时间与流量，先到哪个停哪个	單個節點一次測速最多花的時間與流量，先到哪個停哪個
单行	單行
单行文字	單行文字
占整机 CPU 的比例：{} 个核心全部跑满为 100%	佔整機 CPU 的比例：{} 個核心全部跑滿為 100%
占用	佔用
占用超过 85% 时数值与图形显示为红色	佔用超過 85% 時數值與圖形顯示為紅色
占用超过 85%（电池电量低于 20%）时数值与图形显示为红色	佔用超過 85%（電池電量低於 20%）時數值與圖形顯示為紅色
占用高于	佔用高於
卷	卷
卸载	卸載
卸载“{}”？	卸載“{}”？
卸载失败：{}	卸載失敗：{}
卸载应用	卸載應用
卸载辅助工具	卸載輔助工具
历史	歷史
历史记录	歷史記錄
历史记录已关闭，下面是关闭前记录的数据。	歷史記錄已關閉，下面是關閉前記錄的數據。
压力 {}	壓力 {}
压力{}	壓力{}
压力走势	壓力走勢
压缩	壓縮
压缩与交换	壓縮與交換
压缩为你省下	壓縮為你省下
压缩包里应当只有一个 .app	壓縮包里應當只有一個 .app
压缩比	壓縮比
原因	原因
原生 / 广播	原生 / 廣播
原生 IP	原生 IP
去批准	去批准
去授权	去授權
双行圆点	雙行圓點
双行文字	雙行文字
双行居中	雙行置中
双行箭头	雙行箭頭
反向解析	反向解析
反馈问题	反饋問題
发现新版本 {}	發現新版本 {}
发现问题	發現問題
发现问题：{}	發現問題：{}
发生这些状况时发送系统通知，点通知打开对应页面	發生這些狀況時發送系統通知，點通知打開對應頁面
发送	發送
发送测试通知	發送測試通知
取消	取消
受保护	受保護
受保护的项目：{}	受保護的項目：{}
另一台 Mac	另一台 Mac
另有 {} 个出口，见网站分流	另有 {} 個出口，見網站分流
另有 {} 移到废纸篓	另有 {} 移到廢紙簍
另有 {} 项	另有 {} 項
只同步偏好设置，不上传监控数据、历史记录或 WebDAV 连接信息。每台 Mac 需单独配置 WebDAV。	只同步偏好設置，不上傳監控數據、歷史記錄或 WebDAV 連接信息。每台 Mac 需單獨配置 WebDAV。
只含当前用户的进程	只含當前用戶的進程
只在打开温度与风扇页面时记录	只在打開溫度與風扇頁面時記錄
只在菜单栏显示 GPU 或打开 GPU 相关页面时记录	只在菜單欄顯示 GPU 或打開 GPU 相關頁面時記錄
只在菜单栏显示温度、开启过热通知或打开温度页面时记录	只在菜單欄顯示溫度、開啓過熱通知或打開溫度頁面時記錄
只在菜单栏显示电池或打开电池页面时记录	只在菜單欄顯示電池或打開電池頁面時記錄
只显示菜单栏时的采样间隔；打开弹窗或主窗口时为 1 秒（进程页 2 秒）	只顯示菜單欄時的採樣間隔；打開彈窗或主窗口時為 1 秒（進程頁 2 秒）
只查找以该应用包名命名的文件，以及 Application Support、Logs 下与应用同名的目录；钥匙串与其他应用共享的数据不会动。程序坞里的图标会一并移除	只查找以該應用包名命名的文件，以及 Application Support、Logs 下與應用同名的目錄；鑰匙串與其他應用共享的數據不會動。程序塢里的圖標會一並移除
只设置了系统代理：浏览器等应用走代理，命令行工具、游戏等不读代理设置的程序仍在直连。要接管全部流量，可以开启增强模式或 TUN 模式。	只設置了系統代理：瀏覽器等應用走代理，命令行工具、遊戲等不讀代理設置的程序仍在直連。要接管全部流量，可以開啓增強模式或 TUN 模式。
可以恢复，但清空废纸篓前不会释放空间	可以恢復，但清空廢紙簍前不會釋放空間
可执行文件：{}	可執行文件：{}
可清理 · 已选 {} 项	可清理 · 已選 {} 項
可清除	可清除
可清除是系统随时可以腾出的缓存；访达显示的“可用”把它算在内	可清除是系統隨時可以騰出的緩存；訪達顯示的“可用”把它算在內
可用	可用
可用 {}	可用 {}
可用 {} / 共 {}	可用 {} / 共 {}
可用内存只剩 {}，系统正在压缩和交换内存。关闭不用的应用可以缓解。	可用內存只剩 {}，系統正在壓縮和交換內存。關閉不用的應用可以緩解。
可用空间包含系统可以随时清除的缓存，与访达显示一致	可用空間包含系統可以隨時清除的緩存，與訪達顯示一致
可访问	可訪問
右侧风扇	右側風扇
右耳	右耳
各核心占用	各核心佔用
各核心负载	各核心負載
各项指标正常	各項指標正常
合上屏幕时 Mac 不进入睡眠，下载、渲染、远程连接不中断。	合上屏幕時 Mac 不進入睡眠，下載、渲染、遠程連接不中斷。
合并为一个	合併為一個
合盖后继续运行	合蓋後繼續運行
合盖电量下限	合蓋電量下限
合盖睡眠	合蓋睡眠
合盖运行	合蓋運行
合盖运行时散热变差，请勿放入包中。使用电池且电量低于 {}% 时会自动关闭。	合蓋運行時散熱變差，請勿放入包中。使用電池且電量低於 {}% 時會自動關閉。
合盖运行设置	合蓋運行設置
合盖运行需要修改系统睡眠设置，需安装辅助工具（管理员授权一次）。	合蓋運行需要修改系統睡眠設置，需安裝輔助工具（管理員授權一次）。
同步	同步
同步失败	同步失敗
同步的内容：菜单栏项目与风格、刷新频率、外观与语言、详情弹窗的区块、连接探测、通知、快捷键、风扇安全温度、合盖电量下限。当前页面、辅助工具与历史记录留在本机。	同步的內容：菜單欄項目與風格、刷新頻率、外觀與語言、詳情彈窗的區塊、連接探測、通知、快捷鍵、風扇安全溫度、合蓋電量下限。當前頁面、輔助工具與歷史記錄留在本機。
后台低频探测	後台低頻探測
启动于	啓動於
启动时和之后每天检查一次，发现新版本时显示更新摘要	啓動時和之後每天檢查一次，發現新版本時顯示更新摘要
启动磁盘	啓動磁盤
启动磁盘可用空间低于 10% 或 10 GB，每 10 分钟检查一次	啓動磁盤可用空間低於 10% 或 10 GB，每 10 分鐘檢查一次
启动磁盘已用占比	啓動磁盤已用佔比
启动项	啓動項
启用	啓用
启用 {}	啓用 {}
启用失败：{}	啓用失敗：{}
哔哩哔哩	嗶哩嗶哩
唤醒	喚醒
团队 {}	團隊 {}
国内	國內
国内分省三网延迟	國內分省三網延遲
国内网站也绕到了{}，访问会变慢，也可能触发风控。	國內網站也繞到了{}，訪問會變慢，也可能觸發風控。
国内网站直连，国际网站经 {} 的{}。	國內網站直連，國際網站經 {} 的{}。
国内网站走了代理，访问会绕路变慢。	國內網站走了代理，訪問會繞路變慢。
国内网络建议选阿里云或腾讯；选路由器只检测本地连接	國內網絡建議選阿里雲或騰訊；選路由器只檢測本地連接
图形	圖形
图形处理器	圖形處理器
图形核心	圖形核心
图标	圖標
圆环	圓環
圆环表示当前占用比例	圓環表示當前佔用比例
在 cleanip.io 查看这个 IP 的完整报告	在 cleanip.io 查看這個 IP 的完整報告
在主窗口打开“{}”	在主窗口打開“{}”
在程序坞显示图标	在程序塢顯示圖標
在线升级	在線升級
在线升级：发现新版本时显示更新摘要，一键安装并自动重启	在線升級：發現新版本時顯示更新摘要，一鍵安裝並自動重啓
在菜单栏显示	在菜單欄顯示
在菜单栏显示{}	在菜單欄顯示{}
在访达中显示	在訪達中顯示
型号	型號
域名，例如 example.com	域名，例如 example.com
处理器	處理器
处理器核心	處理器核心
备用空间	備用空間
备用空间低于阈值，建议备份	備用空間低於閾值，建議備份
外置硬盘、U 盘、镜像与网络共享	外置硬盤、U 盤、鏡像與網絡共享
外观	外觀
存储	存儲
它只做这几件事	它只做這幾件事
安全温度	安全溫度
安装	安裝
安装包	安裝包
安装包不支持这台 Mac 的芯片	安裝包不支持這台 Mac 的芯片
安装包内容不正确：{}	安裝包內容不正確：{}
安装包校验值与版本清单不一致，已放弃安装	安裝包校驗值與版本清單不一致，已放棄安裝
安装失败：{}	安裝失敗：{}
安装辅助工具	安裝輔助工具
安静	安靜
定时 ping 一个地址，记录网络是否通畅	定時 ping 一個地址，記錄網絡是否通暢
定时探测网络	定時探測網絡
实测	實測
家目录	家目錄
容量	容量
密码仅保存在这台 Mac 的钥匙串中	密碼僅保存在這台 Mac 的鑰匙串中
密码或应用专用密码	密碼或應用專用密碼
导出…	導出…
导出失败：{}	導出失敗：{}
导出时间	導出時間
导出诊断信息	導出診斷信息
寿命偏低，注意备份	壽命偏低，注意備份
寿命按厂商估算的已用比例计算；写入量越大消耗越快，日常使用通常可用很多年	壽命按廠商估算的已用比例計算；寫入量越大消耗越快，日常使用通常可用很多年
将应用 {} 保存的设置，覆盖本机对应偏好。	將應用 {} 保存的設置，覆蓋本機對應偏好。
将清理 {} 个项目，共 {}。{}	將清理 {} 個項目，共 {}。{}
将移到废纸篓	將移到廢紙簍
小标签在上、数值在下，两行靠右对齐，数值的右边不会跳	小標籤在上、數值在下，兩行靠右對齊，數值右緣不會跳動
同双行文字，但两行各自居中；标签比数值宽时（风扇、温度）不会偏到一边	與雙行文字相同，但兩行各自置中；標籤比數值寬時（風扇、溫度）也不會偏向一側
尚未检查	尚未檢查
屏幕保持常亮	屏幕保持常亮
屏幕可按设置关闭，下载、编译等后台任务继续运行	屏幕可按設置關閉，下載、編譯等後台任務繼續運行
屏幕和系统都不会因闲置而关闭或休眠	屏幕和系統都不會因閒置而關閉或休眠
展开{}	展開{}
峰值	峰值
峰值 {}	峰值 {}
工具	工具
左侧风扇	左側風扇
左耳	左耳
已{}“{}”	已{}“{}”
已使用 Developer ID 签名	已使用 Developer ID 簽名
已停用	已停用
已充满	已充滿
已删除 {} 个快照，腾出的空间稍后会反映在“可清除”里	已刪除 {} 個快照，騰出的空間稍後會反映在“可清除”里
已到设定时间，防休眠已关闭	已到設定時間，防休眠已關閉
已加载	已加載
已取消	已取消
已取消登录	已取消登錄
已启用	已啓用
已导出 {}	已導出 {}
已将 {} 与 {} 项残留移到废纸篓，约 {}{}{}。需要时可以在废纸篓里放回。	已將 {} 與 {} 項殘留移到廢紙簍，約 {}{}{}。需要時可以在廢紙簍里放回。
已应用远端设置	已應用遠端設置
已开启同步	已開啓同步
已恢复自动获取 DNS	已恢復自動獲取 DNS
已扫描 {} 个条目 · {}	已掃描 {} 個條目 · {}
已把“{}”移到废纸篓	已把“{}”移到廢紙簍
已拷贝	已拷貝
