# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
设备不支持	Dispositivo no compatible
SMC [{}] 不支持的数据类型 {}	SMC [{}]: tipo de datos no compatible {}
SMC [{}] 被固件拒绝 (0x{})	SMC [{}]: rechazado por el firmware (0x{})
SMC [{}] 调用失败 ({})	SMC [{}]: error de llamada ({})
SMC 通信与 Apple Silicon 风扇解锁流程移植自该项目 · MIT License	El acceso a SMC y el desbloqueo de ventiladores en Apple Silicon proceden de este proyecto · Licencia MIT
SSD 健康	Salud del SSD
Time Machine 在备份之间会先在本机留下快照，它们占的空间计入“可清除”，系统缺空间时会自动删。手动删除不影响已完成的备份。	Entre copias de seguridad, Time Machine guarda instantáneas en este Mac. Su espacio se considera purgable y macOS las elimina cuando lo necesita. Borrarlas manualmente no afecta a las copias completadas.
VPN / 代理	VPN / Proxy
VPN / 隧道	VPN / Túnel
VPN 不允许绕开它连接	La VPN no permite conexiones que la eviten
VPN 不允许绕开它连接，读不到本机网络原本的出口。下方按出口列出各网站。	La VPN no permite conexiones que la eviten, por lo que no se puede consultar la salida original de tu red. Abajo se agrupan los sitios por salida.
VPN 隧道	Túnel VPN
WebDAV 地址发生重定向，请填写最终目录地址	La dirección WebDAV redirige. Introduce la URL final del directorio
WebDAV 存储空间不足	Almacenamiento WebDAV lleno
WebDAV 拒绝访问，请检查目录读写权限	Acceso WebDAV denegado. Revisa los permisos de lectura y escritura del directorio
WebDAV 目录不存在，请先在服务器上创建该目录	El directorio WebDAV no existe. Créalo primero en el servidor
WebDAV 目录地址	URL del directorio WebDAV
WebDAV 认证失败，请检查用户名和密码	Error de autenticación WebDAV. Revisa el usuario y la contraseña
WebDAV 返回错误：{}	WebDAV devolvió un error: {}
XStats {} 已发布	XStats {} disponible
XStats 基于 OpenStats 开发，感谢原项目的开源贡献 · MIT License	XStats se basa en OpenStats. Gracias al proyecto original por sus aportaciones de código abierto · Licencia MIT
XStats 控制	Controlado por XStats
XStats 控制中	Controlado por XStats
XStats 的通知被关闭了，打开的提醒不会显示。	Las notificaciones de XStats están desactivadas; no se mostrarán las alertas.
XStats 辅助工具	Auxiliar de XStats
XStats 通知测试	Notificación de prueba de XStats
XStats 防休眠	XStats Mantener activo
XStats 需要授权以安装新版本。	XStats necesita permiso para instalar la nueva versión.
XStats 需要管理员权限来修改“{}”的 DNS。	XStats necesita permisos de administrador para cambiar el DNS de «{}».
XStats 需要管理员权限来删除 Time Machine 本地快照。	XStats necesita permisos de administrador para borrar instantáneas locales de Time Machine.
XStats 需要管理员权限来刷新 DNS 缓存。	XStats necesita permisos de administrador para vaciar la caché DNS.
XStats 需要管理员权限来释放内存。	XStats necesita permisos de administrador para liberar memoria.
XStats-诊断-{}	XStats-Diagnóstico-{}
XStats-诊断-{}.zip	XStats-Diagnóstico-{}.zip
Xcode 归档	Archivos de Xcode
Xcode 编译缓存	Caché de compilación de Xcode
cleanip.io 对这次评分的把握：各数据源结论越一致越高	Confianza de cleanip.io en la puntuación: aumenta cuanto más coinciden sus fuentes
macOS 系统目录（系统组件）	Carpeta del sistema macOS (componente del sistema)
npm 缓存	Caché de npm
Go 缓存	Caché de Go
Rust 缓存	Caché de Rust
uv 缓存	Caché de uv
Yarn 缓存	Caché de Yarn
pnpm 缓存	Caché de pnpm
Bun 缓存	Caché de Bun
npm 下载缓存，由 npm 自行清理	Caché de descargas de npm, limpiada por npm
Yarn 全局与离线镜像缓存，由 Yarn 自行清理	Caché global y espejo sin conexión de Yarn, limpiadas por Yarn
pnpm 内容寻址存储，仅清理未被引用的包	Almacén direccionado por contenido de pnpm; solo se eliminan paquetes sin referencias
Bun 下载的包缓存，由 Bun 自行清理	Caché de descarga de paquetes de Bun, limpiada por Bun
Go 编译与完整模块缓存，由 go clean 清理	Cachés de compilación y módulos completos de Go, limpiadas con go clean
Cargo 注册表与 Git 依赖缓存，需要 cargo-cache	Cachés del registro de Cargo y dependencias Git; requiere cargo-cache
uv 下载的 Python 包与构建缓存，由 uv 自行清理	Cachés de paquetes de Python y compilación descargadas por uv, limpiadas por uv
未找到 {}，无法安全清理	No se encontró {} y no se puede limpiar de forma segura
{} 清理失败（退出码 {}）	Falló la limpieza de {} (código de salida {})
{} 清理失败（退出码 {}）：{}	Falló la limpieza de {} (código de salida {}): {}
{}：未找到 {}，无法安全清理	{}: no se encontró {} y no se puede limpiar de forma segura
支持的内容先移到废纸篓；工具缓存由对应命令直接清理。	Los elementos compatibles se mueven primero a la papelera; las cachés de herramientas se limpian directamente con sus comandos.
支持的缓存可以恢复；工具缓存始终由对应命令直接清理	Las cachés compatibles se pueden restaurar; las cachés de herramientas siempre se limpian directamente con sus comandos
{} {} 英寸	{} de {} pulgadas
{} · {} 个	{} · {}
{} · {} 核	{} · {} núcleos
{} · 约 {}	{} · unos {}
{} · 负载 {}/{}	{} · carga {}/{}
{} 个	{}
{} 个传感器	{} sensores
{} 个应用，系统自带的不列出	{} apps; no se muestran las del sistema
{} 个网站	{} sitios
{} 个进程	{} procesos
{} 中位延迟	Mediana de {}
{} 分钟	{} min
{} 可用 {} · 共 {}	{}: {} libres · {} en total
{} 天	{} d
{} 天 {} 小时	{} d {} h
{} 小时	{} h
{} 小时 {} 分钟	{} h {} min
{} 核	{} núcleos
{} 核图形处理器	GPU de {} núcleos
{} 正在运行	{} está en ejecución
{} 正在运行，卸载前需要先退出。	{} está en ejecución. Ciérrala antes de desinstalar.
{} 测	en {}
{} 秒	{} s
{} 秒 / {} MB	{} s / {} MB
{} 秒·{} MB	{} s · {} MB
{} 组	{} grupos
{} 缓存	Caché de {}
{} 英寸	{} pulgadas
{} 项	{} elementos
{} 项 · 可直接停用	{} elementos · se pueden desactivar aquí
{} 项 · 需要管理员权限，只读	{} elementos · requieren administrador, solo lectura
{} 项失败	{} fallidos
{}%（阈值 {}%）	{}% (umbral {}%)
{}/{} 个节点连得上	{}/{} nodos accesibles
{}{}只剩 {}%，记得充电。	A {}{} le queda un {}%. Recuerda cargarlo.
{}{}（{}）	{}{} ({})
{}。系统会自动分配任务，不用你操心	{}. macOS reparte las tareas automáticamente.
{}中	{}
{}前	Hace {}
{}前检测	Comprobado hace {}
{}后充满	Carga completa en {}
{}电量低	Batería de {} baja
{}（{}）	{} ({})
{}（代理接管）	{} (gestionado por el proxy)
{}，{}，健康 {}	{}, {}, salud {}
{}，后台{}	{}, en segundo plano {}
{}：{}	{}: {}
{}：{}/{} 个节点连得上	{}: {}/{} nodos accesibles
~/.npm/_cacache，安装依赖时自动重新下载	~/.npm/_cacache; se descarga de nuevo al instalar dependencias
~/Library/Caches 中各应用的缓存，删除后会按需重建	Cachés de apps en ~/Library/Caches; se regeneran cuando hace falta
~/Library/Logs 中的日志和诊断报告	Registros e informes de diagnóstico en ~/Library/Logs
· 结果反映 XStats 自己发出的请求，按应用分流的规则下其他应用可能走不同出口	· Los resultados reflejan solicitudes de XStats; con reglas por app, otras apps pueden usar salidas distintas
“{}”只剩 {} 可用。可以用 XStats 的清理功能释放缓存。	A «{}» solo le quedan {} libres. Usa Limpieza de XStats para vaciar cachés.
“{}”（{}）会移到废纸篓，可以从废纸篓放回。	«{1}» ({2}) se moverá a la Papelera; podrás restaurarlo desde allí.
、	, 
一般	Aceptable
一键安装	Instalar ahora
上传	Subida
上传 {} · 下载 {}	Subida {} · Bajada {}
上传与下载速度、IP 地址、DNS	Velocidad de subida y bajada, direcciones IP y DNS
上传并覆盖	Subir y sobrescribir
上传本机设置	Subir ajustes de este Mac
上次同步：{}	Última sincronización: {}
上次更新：{}	Última actualización: {}
上次检查 {}，最新 {}	Última comprobación {}, versión más reciente {}
上次检查发现问题	Se encontraron problemas en la última comprobación
上次检查正常	Última comprobación correcta
上次检查：{}	Última comprobación: {}
上行	Subida
下行	Bajada
下载	Descarga
下载失败：{}	Error de descarga: {}
下载并应用	Descargar y aplicar
下载目录中的 .dmg / .pkg / .xip / .iso，移到废纸篓	Archivos .dmg / .pkg / .xip / .iso en Descargas; se mueven a la Papelera
不可用	No disponible
不在允许清理的目录内	Fuera de las carpetas permitidas para limpieza
不在可卸载的位置：{}	Ubicación no apta para desinstalar: {}
不提供电量	Sin información de batería
不支持 IPv6	IPv6 no compatible
不是团队 {} 签名的完整应用（{}）	No es una app completa firmada por el equipo {} ({})
不是应用程序	No es una aplicación
不是绝对路径	No es una ruta absoluta
不经过代理	Sin proxy
不能删除清理目录本身	No se puede borrar la propia carpeta de limpieza
不限	Sin límite
不限时	Indefinidamente
与 30 秒前持平	Igual que hace 30 s
丢包 {}%	{}% de pérdida
严重	Crítico
中位延迟	Mediana
中等负载	Carga moderada
中等风险	Riesgo medio
中继	Retransmisión
主显示器	Pantalla principal
主窗口与弹窗的配色；菜单栏始终跟随系统	Colores de la ventana y las ventanas emergentes; la barra de menús sigue el sistema
云端只保存邮箱、姓名与设置文档	La nube solo guarda tu correo, nombre y documento de ajustes
云端已有 {} 在 {} 保存的设置，和这台 Mac 上的不一样。要用哪一份？	{1} guardó ajustes en la nube {2} y difieren de los de este Mac. ¿Cuáles quieres usar?
交换区	Intercambio
仅系统不休眠	Mantener el sistema activo
介质错误	Errores del soporte
从左侧选择应用，或把应用拖到这里	Elige una app a la izquierda o arrástrala aquí
从未	Nunca
从这个节点下载测速，上限 {}	Descargar desde este nodo, hasta {}
代理	Proxy
代理出口	salida del proxy
代理出口不支持 IPv6，IPv6 连接也不会绕过代理泄露地址。	La salida del proxy no admite IPv6 y las conexiones IPv6 no filtran tu dirección evitando el proxy.
代理出口（{}）	salida del proxy ({})
代理方式	Configuración del proxy
代理没有生效	El proxy no funciona
代理软件	Apps de proxy
以单核满载为 100%	100% = un núcleo a plena carga
以后再说	Más tarde
以系统权限运行的后台服务，只接受本应用的请求	Servicio en segundo plano con privilegios del sistema que solo acepta solicitudes de esta app
仪表盘	Panel
企业	Empresa
企业 IP	IP empresarial
企业网络	Red empresarial
会一并找出它留在资源库里的缓存、偏好设置、容器与登录启动项，全部移到废纸篓，可以放回	También busca sus cachés, preferencias, contenedores y agentes de inicio en la Biblioteca y los mueve a la Papelera, desde donde pueden restaurarse
会结束这个应用的 {} 个进程，未保存的内容可能会丢失。强制退出会立即结束，不给应用保存的机会。	Se cerrarán {} procesos de la app y podrías perder el trabajo sin guardar. Forzar salida los termina de inmediato sin permitir guardar.
传输速率	Velocidad de enlace
位置	Ubicación
位置：{}	Ubicación: {}
低负载	Carga ligera
低风险	Riesgo bajo
住宅 IP	IP residencial
住宅代理	Proxy residencial
住宅宽带	Residencial
住宅概率	Probabilidad residencial
余量 {}	Margen {}
使用 {} 登录	Iniciar sesión con {}
使用云端设置	Usar ajustes de la nube
使用历史	Historial de uso
使用电池	Con batería
使用电池且电量低于该值时，自动关闭合盖运行	Desactivar el modo de tapa cerrada cuando la batería baje de este nivel
使用自己的 WebDAV 保存一份设置文件，仅手动上传和下载，不会自动合并。	Guarda un archivo de ajustes en tu servidor WebDAV. Las subidas y descargas son manuales; los cambios no se combinan automáticamente.
例如 1.1.1.1, 8.8.8.8	p. ej., 1.1.1.1, 8.8.8.8
保存配置	Guardar configuración
保持唤醒	Mantener activo
保持运行	Mantener en ejecución
信号强度	Señal
修改 DNS 需要管理员权限：已安装辅助工具时直接修改，否则每次弹出系统授权框。	Cambiar el DNS requiere permisos de administrador: con el auxiliar instalado se aplica directamente; de lo contrario, el sistema los solicita cada vez.
修改地址	Editar direcciones
偏好设置	Preferencias
偏高	Elevado
停止	Detener
停用	Desactivar
停用失败：{}	Error al desactivar: {}
健康 {}	Salud {}
健康度	Salud
健康度是现在充满时的容量与出厂容量之比，低于 80% 时苹果建议更换电池	La salud compara la capacidad de carga completa actual con la de diseño; Apple recomienda reemplazar la batería por debajo del 80%
充电上限可在系统设置中设为 80%–100%，长期接电源时有助于延缓电池老化	Establece un límite de carga del 80%–100% en Ajustes del Sistema para reducir el desgaste al mantener el equipo conectado
充电中	Cargando
充电盒	Estuche
全局代理	Proxy global
全局快捷键（在任何应用中都能使用，需要包含 ⌘、⌥ 或 ⌃）	Atajos globales (funcionan en cualquier app; deben incluir ⌘, ⌥ o ⌃)
全球探针看目标	Sondas globales
全球节点	Nodos globales
全选	Seleccionar todo
全部	Todo
全部删除	Eliminar todo
全部经代理	Todo el tráfico por proxy
公网 IP	IP pública
公网 IP 查询	Consultar IP pública
公网 IPv4	IPv4 pública
公网 IPv6	IPv6 pública
共 {}	{} en total
共 {} 条记录	{} registros
共 {}，{} 个条目 · {}	{1} en {2} elementos · {3}
关	Desactivado
关于	Acerca de
关于 XStats	Acerca de XStats
关闭	Desactivado
其他	Otros
其他位置	Otras ubicaciones
其他磁盘	Otros discos
其他程序手动控制	Controlado por otra app
其他程序控制	Otra app
内存	Memoria
内存 {}	Memoria {}
内存与图形	Memoria y gráficos
内存压力严重	Presión de memoria crítica
内存压力严重的时段：{} 个（图上红色标记）	Periodos de presión crítica: {} (marcados en rojo)
内存压力偏高	Presión de memoria elevada
内存压力持续 30 秒处于严重，系统开始大量换页	La presión de memoria permanece crítica 30 segundos y el sistema empieza a paginar intensamente
内存已整理	Memoria liberada
内存水位	Niveles de memoria
内存类型	Tipo de memoria
内存：{}	Memoria: {}
写入	Escritura
出口	Salida
出口与分流	Salida y enrutamiento
出口与分流：检查 VPN 与代理是否生效、各网站从哪个出口出去	Salida y enrutamiento: comprueba si funcionan tu VPN y proxy y la salida que usa cada sitio
出口依据	Fundamento
出口未知	Salida desconocida
出现介质错误，建议备份	Errores del soporte; haz una copia de seguridad
分别经物理网卡、系统代理与 VPN 隧道访问检测目标，约需 10 秒。	Accediendo a los destinos de prueba por la interfaz de red, el proxy del sistema y el túnel VPN. Tardará unos 10 segundos.
分流正常	Enrutamiento dividido correcto
切换到浅色	Cambiar a claro
切换到深色	Cambiar a oscuro
刚刚	Ahora mismo
刚刚检测	Comprobado ahora
刚刚被使用	Usado recientemente
删除	Eliminar
删除…	Eliminar…
删除中…	Eliminando…
删除云端数据	Eliminar datos de la nube
删除云端数据？	¿Eliminar datos de la nube?
删除全部本地快照？	¿Eliminar todas las instantáneas locales?
删除账号、所有登录方式与云端保存的设置；这台 Mac 上的设置保留	Elimina la cuenta, todos los métodos de acceso y los ajustes de la nube; conserva los ajustes de este Mac
到时后自动恢复系统默认的睡眠行为。	El reposo normal se restaura al agotarse el tiempo.
刷新	Actualizar
刷新 DNS 缓存	Vaciar caché DNS
刷新 DNS 缓存、释放内存、为网络服务设置 DNS 服务器	Vaciar la caché DNS, liberar memoria y configurar servidores DNS para los servicios de red
刷新状态	Actualizar estado
刷新间隔	Intervalo de actualización
刷新频率	Frecuencia de actualización
剩余	Restante
距重置	Hasta el reinicio
剩余 {}	{} restantes
剩余寿命	Vida útil restante
剩余寿命 {}% · 已写入 {}	{}% de vida útil · {} escritos
剪切	Cortar
功耗	Consumo
包名是 {}	El identificador del paquete es {}
包含城市数据	Incluir datos de ciudades
协议版本	Versión del protocolo
单个节点一次测速最多花的时间与流量，先到哪个停哪个	Límite de tiempo y datos por prueba de un nodo; se detiene al alcanzar cualquiera
单行	En una línea
单行文字	Texto en una línea
占整机 CPU 的比例：{} 个核心全部跑满为 100%	Porcentaje de CPU total: los {} núcleos a plena carga equivalen al 100%
占用	Uso
占用超过 85% 时数值与图形显示为红色	Mostrar valores y gráficos en rojo si el uso supera el 85%
占用超过 85%（电池电量低于 20%）时数值与图形显示为红色	Valores y gráficos en rojo por encima del 85% de uso (batería por debajo del 20%)
占用高于	Uso superior a
卷	Volumen
卸载	Desinstalar
卸载“{}”？	¿Desinstalar «{}»?
卸载失败：{}	Error al desinstalar: {}
卸载应用	Desinstalador
卸载辅助工具	Desinstalar auxiliar
历史	Historial
历史记录	Historial
历史记录已关闭，下面是关闭前记录的数据。	El registro del historial está desactivado. Se muestran los datos anteriores a su desactivación.
压力 {}	Presión {}
压力{}	{}
压力走势	Tendencia de presión
压缩	Comprimida
压缩与交换	Compresión e intercambio
压缩为你省下	Ahorro por compresión
压缩包里应当只有一个 .app	El archivo debe contener exactamente un .app
压缩比	Relación de compresión
原因	Motivo
原生 / 广播	Nativa / difusión
原生 IP	IP nativa
去批准	Aprobar
去授权	Conceder acceso
双行圆点	Puntos
双行文字	Texto en dos líneas
双行箭头	Flechas
反向解析	DNS inverso
反馈问题	Informar de un problema
发现新版本 {}	Versión {} disponible
发现问题	Problemas encontrados
发现问题：{}	Problema encontrado: {}
发生这些状况时发送系统通知，点通知打开对应页面	Enviar una notificación cuando ocurra; púlsala para abrir la página correspondiente
发送	Enviar
发送测试通知	Enviar notificación de prueba
取消	Cancelar
受保护	Protegido
受保护的项目：{}	Elemento protegido: {}
另一台 Mac	Otro Mac
另有 {} 个出口，见网站分流	{} salidas más; consulta Enrutamiento de sitios
另有 {} 移到废纸篓	Además, {} movidos a la Papelera
另有 {} 项	{} más
只同步偏好设置，不上传监控数据、历史记录或 WebDAV 连接信息。每台 Mac 需单独配置 WebDAV。	Solo se sincronizan preferencias. No se suben datos de supervisión, historial ni conexiones WebDAV. Configura WebDAV en cada Mac por separado.
只含当前用户的进程	Solo tus procesos
只在打开温度与风扇页面时记录	Solo se registra con Temperatura y ventiladores abierto
只在菜单栏显示 GPU 或打开 GPU 相关页面时记录	Solo se registra si GPU aparece en la barra de menús o hay una página de GPU abierta
只在菜单栏显示温度、开启过热通知或打开温度页面时记录	Solo se registra si la temperatura aparece en la barra de menús, hay alertas de sobrecalentamiento activadas o una página de temperatura abierta
只在菜单栏显示电池或打开电池页面时记录	Solo se registra si Batería aparece en la barra de menús o su página está abierta
只显示菜单栏时的采样间隔；打开弹窗或主窗口时为 1 秒（进程页 2 秒）	Intervalo de muestreo cuando solo se muestra la barra de menús; 1 segundo con una ventana abierta (2 en Procesos)
只查找以该应用包名命名的文件，以及 Application Support、Logs 下与应用同名的目录；钥匙串与其他应用共享的数据不会动。程序坞里的图标会一并移除	Solo incluye archivos con el identificador de la app y carpetas con su nombre en Application Support y Logs. No afecta al llavero ni a datos compartidos con otras apps. También elimina el icono del Dock
只设置了系统代理：浏览器等应用走代理，命令行工具、游戏等不读代理设置的程序仍在直连。要接管全部流量，可以开启增强模式或 TUN 模式。	Solo hay un proxy del sistema: los navegadores lo usan, pero las herramientas de consola, juegos y apps que ignoran estos ajustes siguen conectándose directamente. Activa el modo mejorado o TUN para enrutar todo el tráfico.
可以恢复，但清空废纸篓前不会释放空间	Se puede restaurar, pero no libera espacio hasta vaciar la Papelera
可执行文件：{}	Ejecutable: {}
可清理 · 已选 {} 项	Limpiable · {} seleccionados
可清除	Purgable
可清除是系统随时可以腾出的缓存；访达显示的“可用”把它算在内	Es caché que el sistema puede liberar en cualquier momento; Finder la incluye en el espacio disponible
可用	Disponible
可用 {}	{} disponibles
可用 {} / 共 {}	{1} libres de {2}
可用内存只剩 {}，系统正在压缩和交换内存。关闭不用的应用可以缓解。	Solo quedan {} de memoria; el sistema está comprimiendo e intercambiando. Cierra apps que no uses para aliviarlo.
可用空间包含系统可以随时清除的缓存，与访达显示一致	El espacio disponible incluye cachés purgables, como en Finder
可访问	Accesible
右侧风扇	Ventilador derecho
右耳	Derecho
各核心占用	Carga por núcleo
各核心负载	Carga de núcleos
各项指标正常	Todo parece correcto
合上屏幕时 Mac 不进入睡眠，下载、渲染、远程连接不中断。	El Mac sigue activo con la tapa cerrada para continuar descargas, renderizados y sesiones remotas.
合并为一个	Combinado
合盖后继续运行	Seguir funcionando con la tapa cerrada
合盖电量下限	Batería mínima con tapa cerrada
合盖睡眠	Reposo al cerrar la tapa
合盖运行	Tapa cerrada
合盖运行时散热变差，请勿放入包中。使用电池且电量低于 {}% 时会自动关闭。	La refrigeración empeora con la tapa cerrada; no guardes el Mac en una bolsa. Se desactiva con batería por debajo del {}%.
合盖运行设置	Modo de tapa cerrada
合盖运行需要修改系统睡眠设置，需安装辅助工具（管理员授权一次）。	Este modo modifica el reposo del sistema y necesita el auxiliar (una autorización de administrador).
同步	Sincronizar
同步失败	Error de sincronización
同步的内容：菜单栏项目与风格、刷新频率、外观与语言、详情弹窗的区块、连接探测、通知、快捷键、风扇安全温度、合盖电量下限。当前页面、辅助工具与历史记录留在本机。	Se sincronizan: elementos y estilos de la barra de menús, frecuencia de actualización, apariencia e idioma, secciones emergentes, sondeo de conexión, notificaciones, atajos, temperatura de seguridad y batería mínima con tapa cerrada. La página actual, el auxiliar y el historial permanecen en este Mac.
后台低频探测	Sondeo en segundo plano
启动于	Arranque
启动时和之后每天检查一次，发现新版本时显示更新摘要	Comprueba al iniciar y una vez al día; muestra las novedades si encuentra una actualización
启动磁盘	Disco de arranque
启动磁盘可用空间低于 10% 或 10 GB，每 10 分钟检查一次	Menos del 10% o 10 GB libres en el disco de arranque; se comprueba cada 10 minutos
启动磁盘已用占比	Uso del disco de arranque
启动项	Elementos de inicio
启用	Activar
启用 {}	Activar {}
启用失败：{}	Error al activar: {}
哔哩哔哩	Bilibili
唤醒	Activaciones
团队 {}	equipo {}
国内	China
国内分省三网延迟	Latencia en China
国内网站也绕到了{}，访问会变慢，也可能触发风控。	Los sitios chinos también pasan por {}, lo que ralentiza el acceso y puede activar controles de seguridad.
国内网站直连，国际网站经 {} 的{}。	Los sitios chinos conectan directamente; los internacionales usan {} y su {}.
国内网站走了代理，访问会绕路变慢。	Los sitios chinos pasan por el proxy, con una ruta más larga y lenta.
国内网络建议选阿里云或腾讯；选路由器只检测本地连接	En China continental conviene Alibaba Cloud o Tencent; Router solo comprueba el enlace local
图形	Gráficos
图形处理器	GPU
图形核心	Núcleos GPU
图标	Icono
圆环	Anillo
圆环表示当前占用比例	Un anillo muestra el uso actual
在 cleanip.io 查看这个 IP 的完整报告	Abrir el informe completo de esta IP en cleanip.io
在主窗口打开“{}”	Abrir «{}» en la ventana principal
在程序坞显示图标	Mostrar icono en el Dock
在线升级	Actualizaciones en línea
在线升级：发现新版本时显示更新摘要，一键安装并自动重启	Actualizaciones: consulta novedades, instala con un clic y reinicia la app automáticamente
在菜单栏显示	Mostrar en la barra de menús
在菜单栏显示{}	Mostrar {} en la barra de menús
在访达中显示	Mostrar en Finder
型号	Modelo
域名，例如 example.com	Dominio, por ejemplo example.com
处理器	Procesador
处理器核心	Núcleos CPU
备用空间	Reserva disponible
备用空间低于阈值，建议备份	Reserva por debajo del umbral; haz una copia de seguridad
外置硬盘、U 盘、镜像与网络共享	Discos externos, memorias USB, imágenes de disco y recursos de red
外观	Apariencia
存储	Almacenamiento
它只做这几件事	Solo realiza estas acciones
安全温度	Temperatura de seguridad
安装	Instalar
安装包	Instaladores
安装包不支持这台 Mac 的芯片	Esta actualización no admite el chip de este Mac
安装包内容不正确：{}	Paquete de actualización no válido: {}
安装包校验值与版本清单不一致，已放弃安装	La suma de verificación no coincide con el manifiesto; instalación cancelada
安装失败：{}	Error de instalación: {}
安装辅助工具	Instalar auxiliar
安静	Silencioso
定时 ping 一个地址，记录网络是否通畅	Envía ping periódicamente para registrar la conectividad
定时探测网络	Sondeo de conectividad
实测	Medido
家目录	Carpeta de inicio
容量	Capacidad
密码仅保存在这台 Mac 的钥匙串中	La contraseña solo se guarda en el llavero de este Mac
密码或应用专用密码	Contraseña o contraseña de aplicación
导出…	Exportar…
导出失败：{}	Error de exportación: {}
导出时间	Fecha de exportación
导出诊断信息	Exportar diagnóstico
寿命偏低，注意备份	Vida útil baja; mantén copias de seguridad
寿命按厂商估算的已用比例计算；写入量越大消耗越快，日常使用通常可用很多年	La vida útil se basa en el desgaste estimado por el fabricante. Las escrituras intensivas la acortan; el uso habitual permite muchos años.
将应用 {} 保存的设置，覆盖本机对应偏好。	Aplicar los ajustes guardados el {}, sobrescribiendo las preferencias locales correspondientes.
将清理 {} 个项目，共 {}。{}	Se limpiarán {} elementos, {} en total. {}
将移到废纸篓	Se moverá a la Papelera
小标签在上、数值在下，最紧凑	Etiqueta pequeña sobre el valor; el más compacto
尚未检查	Sin comprobar
屏幕保持常亮	Mantener pantalla encendida
屏幕可按设置关闭，下载、编译等后台任务继续运行	La pantalla puede apagarse normalmente mientras continúan descargas y compilaciones
