# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
SMC [{}] 不支持的数据类型 {}	SMC [{}]: nicht unterstützter Datentyp {}
SMC [{}] 被固件拒绝 (0x{})	SMC [{}]: von Firmware abgelehnt (0x{})
SMC [{}] 调用失败 ({})	SMC [{}]: Aufruf fehlgeschlagen ({})
SMC 通信与 Apple Silicon 风扇解锁流程移植自该项目 · MIT License	SMC-Zugriff und Lüfterfreigabe für Apple Silicon wurden aus diesem Projekt übernommen · MIT-Lizenz
SSD 健康	SSD-Zustand
Time Machine 在备份之间会先在本机留下快照，它们占的空间计入“可清除”，系统缺空间时会自动删。手动删除不影响已完成的备份。	Time Machine speichert zwischen Sicherungen lokale Schnappschüsse. Ihr Platz gilt als löschbar und wird bei Platzmangel automatisch freigegeben. Manuelles Löschen beeinträchtigt abgeschlossene Sicherungen nicht.
VPN / 代理	VPN / Proxy
VPN / 隧道	VPN / Tunnel
VPN 不允许绕开它连接	Das VPN erlaubt keine Umgehung
VPN 不允许绕开它连接，读不到本机网络原本的出口。下方按出口列出各网站。	Das VPN erlaubt keine Umgehung. Der ursprüngliche Ausgang Ihres Netzwerks kann daher nicht ermittelt werden. Websites sind unten nach Ausgang aufgelistet.
VPN 隧道	VPN-Tunnel
WebDAV 地址发生重定向，请填写最终目录地址	Die WebDAV-Adresse wird umgeleitet. Geben Sie die endgültige Verzeichnis-URL ein
WebDAV 存储空间不足	WebDAV-Speicher ist voll
WebDAV 拒绝访问，请检查目录读写权限	WebDAV-Zugriff verweigert. Lese- und Schreibrechte des Verzeichnisses prüfen
WebDAV 目录不存在，请先在服务器上创建该目录	Das WebDAV-Verzeichnis existiert nicht. Erstellen Sie es zuerst auf dem Server
WebDAV 目录地址	WebDAV-Verzeichnis-URL
WebDAV 认证失败，请检查用户名和密码	WebDAV-Anmeldung fehlgeschlagen. Benutzername und Passwort prüfen
WebDAV 返回错误：{}	WebDAV meldet einen Fehler: {}
XStats {} 已发布	XStats {} ist verfügbar
XStats 基于 OpenStats 开发，感谢原项目的开源贡献 · MIT License	XStats basiert auf OpenStats. Vielen Dank an das ursprüngliche Projekt für seinen Open-Source-Beitrag · MIT-Lizenz
XStats 控制	Von XStats gesteuert
XStats 控制中	Von XStats gesteuert
XStats 的通知被关闭了，打开的提醒不会显示。	Mitteilungen für XStats sind deaktiviert. Warnungen werden daher nicht angezeigt.
XStats 辅助工具	XStats-Hilfsprogramm
XStats 通知测试	XStats-Testmitteilung
XStats 防休眠	XStats – Wach halten
XStats 需要授权以安装新版本。	XStats benötigt die Erlaubnis zur Installation der neuen Version.
XStats 需要管理员权限来修改“{}”的 DNS。	XStats benötigt Administratorrechte, um DNS für „{}“ zu ändern.
XStats 需要管理员权限来删除 Time Machine 本地快照。	XStats benötigt Administratorrechte, um lokale Time-Machine-Schnappschüsse zu löschen.
XStats 需要管理员权限来刷新 DNS 缓存。	XStats benötigt Administratorrechte, um den DNS-Cache zu leeren.
XStats 需要管理员权限来释放内存。	XStats benötigt Administratorrechte, um Arbeitsspeicher freizugeben.
XStats-诊断-{}	XStats-Diagnose-{}
XStats-诊断-{}.zip	XStats-Diagnose-{}.zip
Xcode 归档	Xcode-Archive
Xcode 编译缓存	Xcode-Build-Cache
cleanip.io 对这次评分的把握：各数据源结论越一致越高	Zuverlässigkeit der Bewertung von cleanip.io: steigt mit der Übereinstimmung der Datenquellen
macOS 系统目录（系统组件）	macOS-Systemordner (Systemkomponente)
npm 缓存	npm-Cache
Go 缓存	Go-Cache
Rust 缓存	Rust-Cache
uv 缓存	uv-Cache
Yarn 缓存	Yarn-Cache
pnpm 缓存	pnpm-Cache
Bun 缓存	Bun-Cache
npm 下载缓存，由 npm 自行清理	npm-Download-Cache; wird von npm selbst bereinigt
Yarn 全局与离线镜像缓存，由 Yarn 自行清理	Globaler Yarn- und Offline-Mirror-Cache; wird von Yarn selbst bereinigt
pnpm 内容寻址存储，仅清理未被引用的包	Inhaltsadressierter pnpm-Speicher; nur nicht referenzierte Pakete werden entfernt
Bun 下载的包缓存，由 Bun 自行清理	Bun-Paketdownload-Cache; wird von Bun selbst bereinigt
Go 编译与完整模块缓存，由 go clean 清理	Go-Build- und vollständiger Modul-Cache; wird mit go clean bereinigt
Cargo 注册表与 Git 依赖缓存，需要 cargo-cache	Cargo-Registry- und Git-Abhängigkeits-Cache; benötigt cargo-cache
uv 下载的 Python 包与构建缓存，由 uv 自行清理	Von uv geladener Python-Paket- und Build-Cache; wird von uv selbst bereinigt
未找到 {}，无法安全清理	{} wurde nicht gefunden und kann daher nicht sicher bereinigt werden
{} 清理失败（退出码 {}）	Bereinigung von {} fehlgeschlagen (Exit-Code {})
{} 清理失败（退出码 {}）：{}	Bereinigung von {} fehlgeschlagen (Exit-Code {}): {}
{}：未找到 {}，无法安全清理	{}: {} wurde nicht gefunden und kann daher nicht sicher bereinigt werden
支持的内容先移到废纸篓；工具缓存由对应命令直接清理。	Unterstützte Inhalte werden zuerst in den Papierkorb verschoben; Tool-Caches werden direkt durch ihre Befehle bereinigt.
支持的缓存可以恢复；工具缓存始终由对应命令直接清理	Unterstützte Caches können wiederhergestellt werden; Tool-Caches werden immer direkt durch ihre Befehle bereinigt
{} {} 英寸	{} {} Zoll
{} · {} 个	{} · {}
{} · {} 核	{} · {} Kerne
{} · 约 {}	{} · etwa {}
{} · 负载 {}/{}	{} · Last {}/{}
{} 个	{}
{} 个传感器	{} Sensoren
{} 个应用，系统自带的不列出	{} Apps; integrierte Apps werden nicht aufgeführt
{} 个网站	{} Websites
{} 个进程	{} Prozesse
{} 中位延迟	{} Median
{} 分钟	{} Min.
{} 可用 {} · 共 {}	{} {} frei · {} gesamt
{} 天	{} T.
{} 天 {} 小时	{} T. {} Std.
{} 小时	{} Std.
{} 小时 {} 分钟	{} Std. {} Min.
{} 核	{} Kerne
{} 核图形处理器	GPU mit {} Kernen
{} 正在运行	{} wird ausgeführt
{} 正在运行，卸载前需要先退出。	{} wird ausgeführt. Vor der Deinstallation beenden.
{} 测	um {}
{} 秒	{} s
{} 秒 / {} MB	{} s / {} MB
{} 秒·{} MB	{} s · {} MB
{} 组	{} Gruppen
{} 缓存	{}-Cache
{} 英寸	{} Zoll
{} 项	{} Objekte
{} 项 · 可直接停用	{} Objekte · hier deaktivierbar
{} 项 · 需要管理员权限，只读	{} Objekte · Administratorrechte nötig, schreibgeschützt
{} 项失败	{} fehlgeschlagen
{}%（阈值 {}%）	{} % (Grenzwert {} %)
{}/{} 个节点连得上	{}/{} Knoten erreichbar
{}{}只剩 {}%，记得充电。	{}{} hat nur noch {} %. Bitte aufladen.
{}{}（{}）	{}{} ({})
{}。系统会自动分配任务，不用你操心	{}. macOS verteilt die Aufgaben automatisch.
{}中	{}
{}前	vor {}
{}前检测	Vor {} geprüft
{}后充满	Voll in {}
{}电量低	{}: niedriger Batteriestand
{}（{}）	{} ({})
{}（代理接管）	{} (vom Proxy übernommen)
{}，{}，健康 {}	{}, {}, Zustand {}
{}，后台{}	{}, Hintergrund {}
{}：{}	{}: {}
{}：{}/{} 个节点连得上	{}: {}/{} Knoten erreichbar
~/.npm/_cacache，安装依赖时自动重新下载	~/.npm/_cacache; wird bei der Installation von Abhängigkeiten erneut geladen
~/Library/Caches 中各应用的缓存，删除后会按需重建	App-Caches in ~/Library/Caches; werden bei Bedarf neu erstellt
~/Library/Logs 中的日志和诊断报告	Protokolle und Diagnoseberichte in ~/Library/Logs
· 结果反映 XStats 自己发出的请求，按应用分流的规则下其他应用可能走不同出口	· Ergebnisse gelten für Anfragen von XStats; bei App-spezifischen Regeln können andere Apps andere Ausgänge nutzen
“{}”只剩 {} 可用。可以用 XStats 的清理功能释放缓存。	Auf „{}“ sind nur noch {} frei. Mit XStats können Sie Caches bereinigen.
“{}”（{}）会移到废纸篓，可以从废纸篓放回。	„{1}“ ({2}) wird in den Papierkorb verschoben und kann von dort zurückgelegt werden.
、	, 
一般	Mittelmäßig
一键安装	Jetzt installieren
上传	Upload
上传 {} · 下载 {}	Upload {} · Download {}
上传与下载速度、IP 地址、DNS	Upload- und Downloadgeschwindigkeit, IP-Adressen, DNS
上传并覆盖	Hochladen und überschreiben
上传本机设置	Einstellungen dieses Mac hochladen
上次同步：{}	Zuletzt synchronisiert: {}
上次更新：{}	Zuletzt aktualisiert: {}
上次检查 {}，最新 {}	Zuletzt geprüft {}, neueste Version {}
上次检查发现问题	Letzte Prüfung ergab Probleme
上次检查正常	Letzte Prüfung ohne Befund
上次检查：{}	Zuletzt geprüft: {}
上行	Upload
下行	Download
下载	Herunterladen
下载失败：{}	Download fehlgeschlagen: {}
下载并应用	Herunterladen und anwenden
下载目录中的 .dmg / .pkg / .xip / .iso，移到废纸篓	.dmg / .pkg / .xip / .iso im Downloads-Ordner; werden in den Papierkorb verschoben
不可用	Nicht verfügbar
不在允许清理的目录内	Nicht in einem zur Bereinigung freigegebenen Ordner
不在可卸载的位置：{}	Deinstallation an diesem Ort nicht möglich: {}
不提供电量	Keine Batterieinformationen
不支持 IPv6	IPv6 wird nicht unterstützt
不是团队 {} 签名的完整应用（{}）	Keine vollständige, von Team {} signierte App ({})
不是应用程序	Keine Anwendung
不是绝对路径	Kein absoluter Pfad
不经过代理	Ohne Proxy
不能删除清理目录本身	Der Bereinigungsordner selbst kann nicht gelöscht werden
不限	Unbegrenzt
不限时	Unbegrenzt
与 30 秒前持平	Wie vor 30 Sek.
丢包 {}%	{} % Paketverlust
严重	Kritisch
中位延迟	Median
中等负载	Mittlere Auslastung
中等风险	Mittleres Risiko
中继	Relay
主显示器	Hauptbildschirm
主窗口与弹窗的配色；菜单栏始终跟随系统	Farben für Fenster und Popover; die Menüleiste folgt immer dem System
云端只保存邮箱、姓名与设置文档	In der Cloud werden nur E-Mail, Name und Einstellungen gespeichert
云端已有 {} 在 {} 保存的设置，和这台 Mac 上的不一样。要用哪一份？	{1} hat {2} Einstellungen in der Cloud gespeichert, die von diesem Mac abweichen. Welche sollen verwendet werden?
交换区	Auslagerung
仅系统不休眠	System wach halten
介质错误	Medienfehler
从左侧选择应用，或把应用拖到这里	Links eine App auswählen oder hierher ziehen
从未	Nie
从这个节点下载测速，上限 {}	Downloadtest von diesem Knoten, bis zu {}
代理	Proxy
代理出口	Proxy-Ausgang
代理出口不支持 IPv6，IPv6 连接也不会绕过代理泄露地址。	Der Proxy-Ausgang unterstützt kein IPv6. IPv6-Verbindungen umgehen den Proxy nicht und legen Ihre Adresse nicht offen.
代理出口（{}）	Proxy-Ausgang ({})
代理方式	Proxy-Konfiguration
代理没有生效	Proxy funktioniert nicht
代理软件	Proxy-Apps
以单核满载为 100%	100 % = ein voll ausgelasteter Kern
以后再说	Später
以系统权限运行的后台服务，只接受本应用的请求	Ein Hintergrunddienst mit Systemrechten, der nur Anfragen dieser App annimmt
仪表盘	Dashboard
企业	Unternehmen
企业 IP	Unternehmens-IP
企业网络	Unternehmensnetzwerk
会一并找出它留在资源库里的缓存、偏好设置、容器与登录启动项，全部移到废纸篓，可以放回	Sucht auch Caches, Einstellungen, Container und Startobjekte in Ihrer Library und verschiebt sie in den Papierkorb, von wo sie wiederhergestellt werden können
会结束这个应用的 {} 个进程，未保存的内容可能会丢失。强制退出会立即结束，不给应用保存的机会。	Dies beendet {} Prozesse der App. Ungesicherte Arbeit kann verloren gehen. „Sofort beenden“ beendet die App ohne Gelegenheit zum Sichern.
传输速率	Verbindungsrate
位置	Standort
位置：{}	Standort: {}
低负载	Geringe Auslastung
低风险	Geringes Risiko
住宅 IP	Privatanschluss-IP
住宅代理	Privatanschluss-Proxy
住宅宽带	Privatanschluss
住宅概率	Wahrscheinlichkeit eines Privatanschlusses
余量 {}	Spielraum {}
使用 {} 登录	Mit {} anmelden
使用云端设置	Cloud-Einstellungen verwenden
使用历史	Nutzungsverlauf
使用电池	Im Batteriebetrieb
使用电池且电量低于该值时，自动关闭合盖运行	Betrieb bei geschlossenem Deckel im Batteriebetrieb unter diesem Ladestand deaktivieren
使用自己的 WebDAV 保存一份设置文件，仅手动上传和下载，不会自动合并。	Speichert eine Einstellungsdatei auf Ihrem eigenen WebDAV-Server. Hochladen und Herunterladen erfolgen manuell; Änderungen werden nicht automatisch zusammengeführt.
例如 1.1.1.1, 8.8.8.8	z. B. 1.1.1.1, 8.8.8.8
保存配置	Konfiguration sichern
保持唤醒	Wach halten
保持运行	Weiterlaufen lassen
信号强度	Signalstärke
修改 DNS 需要管理员权限：已安装辅助工具时直接修改，否则每次弹出系统授权框。	DNS-Änderungen benötigen Administratorrechte: Mit installiertem Hilfsprogramm werden sie direkt angewendet, andernfalls fragt das System jedes Mal nach.
修改地址	Adressen bearbeiten
偏好设置	Einstellungen
偏高	Erhöht
停止	Stoppen
停用	Deaktivieren
停用失败：{}	Deaktivierung fehlgeschlagen: {}
健康 {}	Zustand {}
健康度	Zustand
健康度是现在充满时的容量与出厂容量之比，低于 80% 时苹果建议更换电池	Der Zustand entspricht der heutigen Vollladekapazität im Verhältnis zur ursprünglichen Kapazität; unter 80 % empfiehlt Apple einen Austausch
充电上限可在系统设置中设为 80%–100%，长期接电源时有助于延缓电池老化	In den Systemeinstellungen lässt sich eine Ladegrenze von 80–100 % einstellen, um bei dauerhaftem Netzbetrieb die Batterie zu schonen
充电中	Wird geladen
充电盒	Ladecase
全局代理	Globaler Proxy
全局快捷键（在任何应用中都能使用，需要包含 ⌘、⌥ 或 ⌃）	Globale Tastaturkurzbefehle (in jeder App nutzbar; müssen ⌘, ⌥ oder ⌃ enthalten)
全球探针看目标	Globale Messpunkte
全球节点	Globale Knoten
全选	Alles auswählen
全部	Alle
全部删除	Alle löschen
全部经代理	Gesamter Verkehr über Proxy
公网 IP	Öffentliche IP
公网 IP 查询	Öffentliche IP ermitteln
公网 IPv4	Öffentliche IPv4
公网 IPv6	Öffentliche IPv6
共 {}	{} gesamt
共 {} 条记录	{} Einträge
共 {}，{} 个条目 · {}	{1} in {2} Objekten · {3}
关	Aus
关于	Über
关于 XStats	Über XStats
关闭	Aus
其他	Andere
其他位置	Andere Orte
其他磁盘	Andere Laufwerke
其他程序手动控制	Von einer anderen App gesteuert
其他程序控制	Andere App
内存	Arbeitsspeicher
内存 {}	Arbeitsspeicher {}
内存与图形	Arbeitsspeicher und Grafik
内存压力严重	Kritischer Speicherdruck
内存压力严重的时段：{} 个（图上红色标记）	Zeiträume mit kritischem Speicherdruck: {} (rot markiert)
内存压力偏高	Erhöhter Speicherdruck
内存压力持续 30 秒处于严重，系统开始大量换页	Der Speicherdruck bleibt 30 Sekunden kritisch; das System lagert vermehrt aus
内存已整理	Arbeitsspeicher bereinigt
内存水位	Speicherbelegung
内存类型	Speichertyp
内存：{}	Arbeitsspeicher: {}
写入	Schreiben
出口	Ausgang
出口与分流	Ausgänge und Routing
出口与分流：检查 VPN 与代理是否生效、各网站从哪个出口出去	Ausgänge und Routing: Prüft VPN, Proxy und den Ausgang jeder Website
出口依据	Ermittlungsgrundlage
出口未知	Ausgang unbekannt
出现介质错误，建议备份	Medienfehler gefunden; Daten sichern
分别经物理网卡、系统代理与 VPN 隧道访问检测目标，约需 10 秒。	Testziele werden über Netzwerkschnittstelle, Systemproxy und VPN-Tunnel aufgerufen. Dies dauert etwa 10 Sekunden.
分流正常	Getrenntes Routing funktioniert
切换到浅色	Zu Hell wechseln
切换到深色	Zu Dunkel wechseln
刚刚	Gerade eben
刚刚检测	Gerade geprüft
刚刚被使用	Kürzlich verwendet
删除	Löschen
删除…	Löschen …
删除中…	Wird gelöscht …
删除云端数据	Cloud-Daten löschen
删除云端数据？	Cloud-Daten löschen?
删除全部本地快照？	Alle lokalen Schnappschüsse löschen?
删除账号、所有登录方式与云端保存的设置；这台 Mac 上的设置保留	Löscht das Konto, alle Anmeldemethoden und die Cloud-Einstellungen; die Einstellungen auf diesem Mac bleiben erhalten
到时后自动恢复系统默认的睡眠行为。	Nach Ablauf wird das normale Ruhezustandsverhalten wiederhergestellt.
刷新	Aktualisieren
刷新 DNS 缓存	DNS-Cache leeren
刷新 DNS 缓存、释放内存、为网络服务设置 DNS 服务器	DNS-Cache leeren, Arbeitsspeicher freigeben und DNS-Server für Netzwerkdienste festlegen
刷新状态	Status aktualisieren
刷新间隔	Aktualisierungsintervall
刷新频率	Aktualisierungsrate
剩余 {}	{} verbleibend
剩余寿命	Restlebensdauer
剩余寿命 {}% · 已写入 {}	{} % Restlebensdauer · {} geschrieben
剪切	Ausschneiden
功耗	Leistungsaufnahme
包名是 {}	Bundle-ID ist {}
包含城市数据	Stadtdaten einschließen
协议版本	Protokollversion
单个节点一次测速最多花的时间与流量，先到哪个停哪个	Zeit- und Datenlimit pro Geschwindigkeitstest eines Knotens; das zuerst erreichte Limit beendet den Test
单行	Einzeilig
单行文字	Einzeiliger Text
占整机 CPU 的比例：{} 个核心全部跑满为 100%	Anteil an der gesamten CPU: Alle {} Kerne voll ausgelastet entsprechen 100 %
占用	Auslastung
占用超过 85% 时数值与图形显示为红色	Werte und Grafiken bei über 85 % rot anzeigen
占用超过 85%（电池电量低于 20%）时数值与图形显示为红色	Werte und Grafiken bei über 85 % Auslastung (unter 20 % Batteriestand) rot anzeigen
占用高于	Auslastung über
卷	Volume
卸载	Deinstallieren
卸载“{}”？	„{}“ deinstallieren?
卸载失败：{}	Deinstallation fehlgeschlagen: {}
卸载应用	Apps deinstallieren
卸载辅助工具	Hilfsprogramm deinstallieren
历史	Verlauf
历史记录	Verlauf
历史记录已关闭，下面是关闭前记录的数据。	Die Verlaufserfassung ist deaktiviert. Unten stehen zuvor aufgezeichnete Daten.
压力 {}	Speicherdruck {}
压力{}	{}
压力走势	Speicherdruckverlauf
压缩	Komprimiert
压缩与交换	Komprimierung und Auslagerung
压缩为你省下	Durch Komprimierung gespart
压缩包里应当只有一个 .app	Das Archiv darf nur eine .app enthalten
压缩比	Komprimierungsverhältnis
原因	Grund
原生 / 广播	Nativ / Broadcast
原生 IP	Native IP
去批准	Genehmigen
去授权	Zugriff erlauben
双行圆点	Punkte
双行文字	Zweizeiliger Text
双行箭头	Pfeile
反向解析	Reverse DNS
反馈问题	Problem melden
发现新版本 {}	Version {} verfügbar
发现问题	Probleme gefunden
发现问题：{}	Problem gefunden: {}
发生这些状况时发送系统通知，点通知打开对应页面	Bei diesen Ereignissen eine Mitteilung senden; ein Klick öffnet die entsprechende Seite
发送	Senden
发送测试通知	Testmitteilung senden
取消	Abbrechen
受保护	Geschützt
受保护的项目：{}	Geschütztes Objekt: {}
另一台 Mac	Anderer Mac
另有 {} 个出口，见网站分流	{} weitere Ausgänge, siehe Website-Routing
另有 {} 移到废纸篓	Zusätzlich {} in den Papierkorb verschoben
另有 {} 项	{} weitere
只同步偏好设置，不上传监控数据、历史记录或 WebDAV 连接信息。每台 Mac 需单独配置 WebDAV。	Nur Einstellungen werden synchronisiert. Überwachungsdaten, Verlauf und WebDAV-Verbindungsdaten werden nicht hochgeladen. WebDAV muss auf jedem Mac separat eingerichtet werden.
只含当前用户的进程	Nur eigene Prozesse
只在打开温度与风扇页面时记录	Aufzeichnung nur bei geöffneter Seite „Temperatur und Lüfter“
只在菜单栏显示 GPU 或打开 GPU 相关页面时记录	Aufzeichnung nur bei GPU in der Menüleiste oder geöffneter GPU-Seite
只在菜单栏显示温度、开启过热通知或打开温度页面时记录	Aufzeichnung nur bei Temperatur in der Menüleiste, aktivierten Überhitzungswarnungen oder geöffneter Temperaturseite
只在菜单栏显示电池或打开电池页面时记录	Aufzeichnung nur bei Batterie in der Menüleiste oder geöffneter Batterieseite
只显示菜单栏时的采样间隔；打开弹窗或主窗口时为 1 秒（进程页 2 秒）	Messintervall bei alleiniger Menüleistenanzeige; bei geöffnetem Fenster oder Popover 1 Sekunde (Prozesse: 2 Sekunden)
只查找以该应用包名命名的文件，以及 Application Support、Logs 下与应用同名的目录；钥匙串与其他应用共享的数据不会动。程序坞里的图标会一并移除	Es werden nur nach der Bundle-ID benannte Dateien sowie Ordner mit dem App-Namen in Application Support und Logs erfasst. Schlüsselbunde und geteilte Daten anderer Apps bleiben unberührt. Das Dock-Symbol wird ebenfalls entfernt
只设置了系统代理：浏览器等应用走代理，命令行工具、游戏等不读代理设置的程序仍在直连。要接管全部流量，可以开启增强模式或 TUN 模式。	Nur ein Systemproxy ist eingerichtet: Browser und viele Apps nutzen ihn, Befehlszeilenprogramme, Spiele und andere Apps ohne Proxy-Unterstützung verbinden sich direkt. Für den gesamten Verkehr den erweiterten Modus oder TUN-Modus aktivieren.
可以恢复，但清空废纸篓前不会释放空间	Wiederherstellbar; Speicher wird erst nach dem Leeren des Papierkorbs frei
可执行文件：{}	Programmdatei: {}
可清理 · 已选 {} 项	Bereinigbar · {} ausgewählt
可清除	Löschbar
可清除是系统随时可以腾出的缓存；访达显示的“可用”把它算在内	Löschbar sind Caches, die das System jederzeit freigeben kann; Finder zählt sie zum verfügbaren Speicher.
可用	Verfügbar
可用 {}	{} verfügbar
可用 {} / 共 {}	{1} von {2} frei
可用内存只剩 {}，系统正在压缩和交换内存。关闭不用的应用可以缓解。	Nur noch {} Arbeitsspeicher verfügbar. Das System komprimiert und lagert aus. Nicht benötigte Apps zu beenden hilft.
可用空间包含系统可以随时清除的缓存，与访达显示一致	Verfügbarer Speicher enthält löschbare Caches, wie im Finder
可访问	Erreichbar
右侧风扇	Rechter Lüfter
右耳	Rechts
各核心占用	Auslastung je Kern
各核心负载	Kernauslastung
各项指标正常	Alle Werte sind normal
合上屏幕时 Mac 不进入睡眠，下载、渲染、远程连接不中断。	Der Mac bleibt bei geschlossenem Deckel wach. Downloads, Renderaufgaben und Fernverbindungen laufen weiter.
合并为一个	Zusammengefasst
合盖后继续运行	Bei geschlossenem Deckel weiterlaufen
合盖电量下限	Mindestladung bei geschlossenem Deckel
合盖睡眠	Ruhezustand beim Zuklappen
合盖运行	Geschlossener Deckel
合盖运行时散热变差，请勿放入包中。使用电池且电量低于 {}% 时会自动关闭。	Bei geschlossenem Deckel ist die Kühlung schlechter. Legen Sie den Mac nicht in eine Tasche. Unter {} % im Batteriebetrieb automatisch deaktiviert.
合盖运行设置	Deckelmodus
合盖运行需要修改系统睡眠设置，需安装辅助工具（管理员授权一次）。	Der Deckelmodus ändert die Ruhezustandseinstellungen und benötigt das Hilfsprogramm (einmalige Administratorfreigabe).
同步	Synchronisieren
同步失败	Synchronisierung fehlgeschlagen
同步的内容：菜单栏项目与风格、刷新频率、外观与语言、详情弹窗的区块、连接探测、通知、快捷键、风扇安全温度、合盖电量下限。当前页面、辅助工具与历史记录留在本机。	Synchronisiert werden Menüleistenelemente und -stile, Aktualisierungsrate, Erscheinungsbild, Sprache, Popover-Bereiche, Verbindungsprüfung, Mitteilungen, Kurzbefehle, sichere Lüftertemperatur und Mindestladung im Deckelmodus. Aktuelle Seite, Hilfsprogramm und Verlauf bleiben auf diesem Mac.
后台低频探测	Hintergrundprüfung
启动于	Gestartet
启动时和之后每天检查一次，发现新版本时显示更新摘要	Beim Start und täglich nach Updates suchen; Neuerungen anzeigen, wenn eine Version verfügbar ist
启动磁盘	Startvolume
启动磁盘可用空间低于 10% 或 10 GB，每 10 分钟检查一次	Weniger als 10 % oder 10 GB auf dem Startvolume frei; Prüfung alle 10 Minuten
启动磁盘已用占比	Belegung des Startvolumes
启动项	Startobjekte
启用	Aktivieren
启用 {}	{} aktivieren
启用失败：{}	Aktivierung fehlgeschlagen: {}
哔哩哔哩	Bilibili
唤醒	Aufweckvorgänge
团队 {}	Team {}
国内	China
国内分省三网延迟	Latenz in China
国内网站也绕到了{}，访问会变慢，也可能触发风控。	Auch chinesische Websites werden über {} umgeleitet. Dies verlangsamt Zugriffe und kann Sicherheitsprüfungen auslösen.
国内网站直连，国际网站经 {} 的{}。	Chinesische Websites verbinden sich direkt; internationale über {}: {}.
国内网站走了代理，访问会绕路变慢。	Chinesische Websites nutzen den Proxy. Der Umweg verlangsamt den Zugriff.
