# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
{} 中位延迟	{} 중앙값
{} 分钟	{}분
{} 可用 {} · 共 {}	{} 여유 {} · 전체 {}
{} 天	{}일
{} 天 {} 小时	{}일 {}시간
{} 小时	{}시간
{} 小时 {} 分钟	{}시간 {}분
{} 核	{}코어
{} 核图形处理器	{}코어 GPU
{} 正在运行	{} 실행 중
{} 正在运行，卸载前需要先退出。	{}이(가) 실행 중입니다. 제거하기 전에 종료하세요.
{} 测	{}에 측정
{} 秒	{}초
{} 秒 / {} MB	{}초 / {} MB
{} 秒·{} MB	{}초 · {} MB
{} 组	{}개 그룹
{} 缓存	{} 캐시
{} 英寸	{}인치
{} 项	{}개 항목
{} 项 · 可直接停用	{}개 항목 · 여기서 비활성화 가능
{} 项 · 需要管理员权限，只读	{}개 항목 · 관리자 권한 필요, 읽기 전용
{} 项失败	{}개 실패
{}%（阈值 {}%）	{}%(기준 {}%)
{}/{} 个节点连得上	노드 {}/{}개 연결 가능
{}{}只剩 {}%，记得充电。	{}{} 배터리가 {}% 남았습니다. 충전하세요.
{}{}（{}）	{}{}({})
{}。系统会自动分配任务，不用你操心	{}. 시스템이 작업을 자동으로 분배합니다
{}中	{} 중
{}前	{} 전
{}前检测	{} 전에 확인
{}后充满	{} 후 완전 충전
{}电量低	{} 배터리 부족
{}（{}）	{}({})
{}（代理接管）	{}(프록시가 처리)
{}，{}，健康 {}	{}, {}, 상태 {}
{}，后台{}	{}, 백그라운드 {}
{}：{}	{}: {}
{}：{}/{} 个节点连得上	{}: 노드 {}/{}개 연결 가능
~/.npm/_cacache，安装依赖时自动重新下载	~/.npm/_cacache(의존성 설치 시 다시 다운로드)
~/Library/Caches 中各应用的缓存，删除后会按需重建	~/Library/Caches의 앱 캐시(필요할 때 다시 생성)
~/Library/Logs 中的日志和诊断报告	~/Library/Logs의 로그 및 진단 보고서
· 结果反映 XStats 自己发出的请求，按应用分流的规则下其他应用可能走不同出口	· XStats 자체 요청의 결과입니다. 앱별 라우팅 규칙에 따라 다른 앱은 다른 출구를 사용할 수 있습니다
“{}”只剩 {} 可用。可以用 XStats 的清理功能释放缓存。	“{}”의 여유 공간이 {} 남았습니다. XStats 정리 기능으로 캐시를 지울 수 있습니다.
“{}”（{}）会移到废纸篓，可以从废纸篓放回。	“{}”({})을(를) 휴지통으로 이동합니다. 휴지통에서 복원할 수 있습니다.
、	, 
一般	보통
一键安装	지금 설치
上传	업로드
上传 {} · 下载 {}	업로드 {} · 다운로드 {}
上传与下载速度、IP 地址、DNS	업로드 및 다운로드 속도, IP 주소, DNS
上传并覆盖	업로드 및 덮어쓰기
上传本机设置	이 Mac의 설정 업로드
上次同步：{}	마지막 동기화: {}
上次更新：{}	마지막 업데이트: {}
上次检查 {}，最新 {}	마지막 확인 {}, 최신 {}
上次检查发现问题	지난 확인에서 문제 발견
上次检查正常	지난 확인 정상
上次检查：{}	마지막 확인: {}
上行	업로드
下行	다운로드
下载	다운로드
下载失败：{}	다운로드 실패: {}
下载并应用	다운로드 및 적용
下载目录中的 .dmg / .pkg / .xip / .iso，移到废纸篓	다운로드 폴더의 .dmg / .pkg / .xip / .iso 파일을 휴지통으로 이동
不可用	사용 불가
不在允许清理的目录内	정리가 허용된 폴더가 아닙니다
不在可卸载的位置：{}	제거할 수 없는 위치: {}
不提供电量	배터리 정보 없음
不支持 IPv6	IPv6 지원 안 함
不是团队 {} 签名的完整应用（{}）	팀 {}에서 서명한 완전한 앱이 아닙니다({})
不是应用程序	응용 프로그램이 아닙니다
不是绝对路径	절대 경로가 아닙니다
不经过代理	프록시 사용 안 함
不能删除清理目录本身	정리 폴더 자체는 삭제할 수 없습니다
不限	제한 없음
不限时	무기한
与 30 秒前持平	30초 전과 동일
丢包 {}%	패킷 손실 {}%
严重	심각
中位延迟	지연 중앙값
中等负载	보통 부하
中等风险	중간 위험
中继	릴레이
主显示器	주 디스플레이
主窗口与弹窗的配色；菜单栏始终跟随系统	주 윈도우와 팝오버의 색상입니다. 메뉴 막대는 항상 시스템 설정을 따릅니다
云端只保存邮箱、姓名与设置文档	클라우드에는 이메일, 이름, 설정 문서만 저장됩니다
云端已有 {} 在 {} 保存的设置，和这台 Mac 上的不一样。要用哪一份？	{}이(가) {}에 클라우드에 저장한 설정이 이 Mac과 다릅니다. 어느 설정을 사용하시겠습니까?
交换区	스왑
仅系统不休眠	시스템 잠자기만 방지
介质错误	미디어 오류
从左侧选择应用，或把应用拖到这里	왼쪽에서 앱을 선택하거나 여기로 드래그하세요
从未	없음
从这个节点下载测速，上限 {}	이 노드에서 다운로드 측정, 최대 {}
代理	프록시
代理出口	프록시 출구
代理出口不支持 IPv6，IPv6 连接也不会绕过代理泄露地址。	프록시 출구는 IPv6를 지원하지 않으며 IPv6 연결이 프록시를 우회하여 주소를 노출하지도 않습니다.
代理出口（{}）	프록시 출구({})
代理方式	프록시 방식
代理没有生效	프록시 작동 안 함
代理软件	프록시 앱
以单核满载为 100%	코어 하나의 최대 사용률을 100%로 표시
以后再说	나중에
以系统权限运行的后台服务，只接受本应用的请求	이 앱의 요청만 수락하는 시스템 권한 백그라운드 서비스
仪表盘	대시보드
企业	기업
企业 IP	기업 IP
企业网络	기업 네트워크
会一并找出它留在资源库里的缓存、偏好设置、容器与登录启动项，全部移到废纸篓，可以放回	라이브러리에 남은 캐시, 환경설정, 컨테이너, 로그인 항목도 찾아 모두 휴지통으로 이동합니다. 복원할 수 있습니다
会结束这个应用的 {} 个进程，未保存的内容可能会丢失。强制退出会立即结束，不给应用保存的机会。	앱의 프로세스 {}개를 종료하며 저장하지 않은 내용이 사라질 수 있습니다. 강제 종료하면 저장 기회 없이 즉시 종료됩니다.
传输速率	링크 속도
位置	위치
位置：{}	위치: {}
低负载	낮은 부하
低风险	낮은 위험
住宅 IP	가정용 IP
住宅代理	가정용 프록시
住宅宽带	가정용 회선
住宅概率	가정용 회선 확률
余量 {}	여유 {}
使用 {} 登录	{}(으)로 로그인
使用云端设置	클라우드 설정 사용
使用历史	사용 기록
使用电池	배터리 사용 중
使用电池且电量低于该值时，自动关闭合盖运行	배터리 사용 중 잔량이 이 값보다 낮으면 덮개를 닫고 실행하는 모드를 자동으로 끕니다
使用自己的 WebDAV 保存一份设置文件，仅手动上传和下载，不会自动合并。	개인 WebDAV 서버에 설정 파일을 저장합니다. 업로드와 다운로드는 수동이며 자동으로 병합되지 않습니다.
例如 1.1.1.1, 8.8.8.8	예: 1.1.1.1, 8.8.8.8
保存配置	구성 저장
保持唤醒	잠자기 방지
保持运行	실행 유지
信号强度	신호 강도
修改 DNS 需要管理员权限：已安装辅助工具时直接修改，否则每次弹出系统授权框。	DNS 변경에는 관리자 권한이 필요합니다. 도우미가 설치되어 있으면 바로 변경하며, 없으면 매번 시스템 인증 창이 표시됩니다.
修改地址	주소 편집
偏好设置	환경설정
偏高	높음
停止	중지
停用	끄기
停用失败：{}	비활성화 실패: {}
健康 {}	상태 {}
健康度	배터리 성능 상태
健康度是现在充满时的容量与出厂容量之比，低于 80% 时苹果建议更换电池	현재 완전 충전 용량과 설계 용량의 비율입니다. Apple은 80% 미만이면 교체를 권장합니다
充电上限可在系统设置中设为 80%–100%，长期接电源时有助于延缓电池老化	시스템 설정에서 충전 한도를 80%~100%로 설정하면 전원에 오래 연결할 때 배터리 노화를 줄일 수 있습니다
充电中	충전 중
充电盒	충전 케이스
全局代理	전체 프록시
全局快捷键（在任何应用中都能使用，需要包含 ⌘、⌥ 或 ⌃）	전역 단축키(모든 앱에서 사용 가능, ⌘, ⌥ 또는 ⌃ 포함 필수)
全球探针看目标	전 세계 탐색
全球节点	전 세계 노드
全选	모두 선택
全部	전체
全部删除	모두 삭제
全部经代理	모든 트래픽이 프록시 경유
公网 IP	공인 IP
公网 IP 查询	공인 IP 조회
公网 IPv4	공인 IPv4
公网 IPv6	공인 IPv6
共 {}	총 {}
共 {} 条记录	기록 {}개
共 {}，{} 个条目 · {}	총 {}, {}개 항목 · {}
关	끔
关于	정보
关于 XStats	XStats 정보
关闭	끔
其他	기타
其他位置	기타 위치
其他磁盘	기타 디스크
其他程序手动控制	다른 앱이 수동 제어 중
其他程序控制	다른 앱이 제어 중
内存	메모리
内存 {}	메모리 {}
内存与图形	메모리 및 그래픽
内存压力严重	심각한 메모리 압력
内存压力严重的时段：{} 个（图上红色标记）	메모리 압력이 심각한 구간: {}개(그래프의 빨간색 표시)
内存压力偏高	메모리 압력 높음
内存压力持续 30 秒处于严重，系统开始大量换页	심각한 메모리 압력이 30초 지속되어 시스템이 대량의 페이징 시작
内存已整理	메모리를 정리했습니다
内存水位	메모리 사용 현황
内存类型	메모리 유형
内存：{}	메모리: {}
写入	쓰기
出口	출구
出口与分流	출구 및 라우팅
出口与分流：检查 VPN 与代理是否生效、各网站从哪个出口出去	출구 및 라우팅: VPN과 프록시 작동 여부 및 사이트별 출구 확인
出口依据	판단 근거
出口未知	출구 알 수 없음
出现介质错误，建议备份	미디어 오류가 있습니다. 백업을 권장합니다
分别经物理网卡、系统代理与 VPN 隧道访问检测目标，约需 10 秒。	네트워크 인터페이스, 시스템 프록시, VPN 터널을 통해 측정 대상에 접속합니다. 약 10초가 걸립니다.
分流正常	분할 라우팅 정상
切换到浅色	라이트 모드로 전환
切换到深色	다크 모드로 전환
刚刚	방금
刚刚检测	방금 확인
刚刚被使用	최근 사용됨
删除	삭제
删除…	삭제…
删除中…	삭제 중…
删除云端数据	클라우드 데이터 삭제
删除云端数据？	클라우드 데이터를 삭제하시겠습니까?
删除全部本地快照？	모든 로컬 스냅샷을 삭제하시겠습니까?
删除账号、所有登录方式与云端保存的设置；这台 Mac 上的设置保留	계정, 모든 로그인 방법, 클라우드 설정을 삭제합니다. 이 Mac의 설정은 유지됩니다
到时后自动恢复系统默认的睡眠行为。	시간이 끝나면 기본 잠자기 동작으로 돌아갑니다.
刷新	새로 고침
刷新 DNS 缓存	DNS 캐시 비우기
刷新 DNS 缓存、释放内存、为网络服务设置 DNS 服务器	DNS 캐시 비우기, 메모리 확보, 네트워크 서비스의 DNS 서버 설정
刷新状态	상태 새로 고침
刷新间隔	새로 고침 간격
刷新频率	새로 고침 빈도
剩余 {}	{} 남음
剩余寿命	남은 수명
剩余寿命 {}% · 已写入 {}	남은 수명 {}% · 쓰기량 {}
剪切	오려두기
功耗	소비 전력
包名是 {}	번들 ID: {}
包含城市数据	도시 데이터 포함
协议版本	프로토콜 버전
单个节点一次测速最多花的时间与流量，先到哪个停哪个	노드 하나의 속도 측정 시간과 데이터 한도입니다. 먼저 도달한 한도에서 중지합니다
单行	한 줄
单行文字	한 줄 텍스트
占整机 CPU 的比例：{} 个核心全部跑满为 100%	전체 CPU 비율: 코어 {}개가 모두 최대 사용 중일 때 100%
占用	사용률
占用超过 85% 时数值与图形显示为红色	사용률이 85%를 초과하면 수치와 그래프를 빨간색으로 표시
占用超过 85%（电池电量低于 20%）时数值与图形显示为红色	사용률 85% 초과(배터리 잔량 20% 미만) 시 수치와 그래프를 빨간색으로 표시
占用高于	사용률 기준
卷	볼륨
卸载	제거
卸载“{}”？	“{}”을(를) 제거하시겠습니까?
卸载失败：{}	제거 실패: {}
卸载应用	앱 제거
卸载辅助工具	도우미 제거
历史	기록
历史记录	기록
历史记录已关闭，下面是关闭前记录的数据。	기록 저장이 꺼져 있습니다. 아래는 끄기 전에 저장된 데이터입니다.
压力 {}	압력 {}
压力{}	압력 {}
压力走势	압력 추이
压缩	압축됨
压缩与交换	압축 및 스왑
压缩为你省下	압축으로 절약한 용량
压缩包里应当只有一个 .app	압축 파일에는 .app이 정확히 하나 있어야 합니다
压缩比	압축률
原因	이유
原生 / 广播	네이티브 / 브로드캐스트
原生 IP	네이티브 IP
去批准	승인하기
去授权	접근 허용
双行圆点	두 줄 점
双行文字	두 줄 텍스트
双行箭头	두 줄 화살표
反向解析	역방향 DNS
反馈问题	문제 신고
发现新版本 {}	새 버전 {} 사용 가능
发现问题	문제 발견
发现问题：{}	문제 발견: {}
发生这些状况时发送系统通知，点通知打开对应页面	이러한 상황에서 알림을 보냅니다. 알림을 클릭하면 관련 페이지가 열립니다
发送	보내기
发送测试通知	테스트 알림 보내기
取消	취소
受保护	보호됨
受保护的项目：{}	보호된 항목: {}
另一台 Mac	다른 Mac
另有 {} 个出口，见网站分流	출구가 {}개 더 있습니다. 사이트별 라우팅 참조
另有 {} 移到废纸篓	추가로 {}을(를) 휴지통으로 이동
另有 {} 项	{}개 더 있음
只同步偏好设置，不上传监控数据、历史记录或 WebDAV 连接信息。每台 Mac 需单独配置 WebDAV。	환경설정만 동기화합니다. 모니터링 데이터, 기록, WebDAV 연결 정보는 업로드하지 않습니다. WebDAV는 Mac마다 별도로 설정하세요.
只含当前用户的进程	현재 사용자의 프로세스만
只在打开温度与风扇页面时记录	온도 및 팬 페이지가 열려 있을 때만 기록
只在菜单栏显示 GPU 或打开 GPU 相关页面时记录	메뉴 막대에 GPU를 표시하거나 GPU 관련 페이지가 열려 있을 때만 기록
只在菜单栏显示温度、开启过热通知或打开温度页面时记录	메뉴 막대에 온도를 표시하거나 과열 알림이 켜져 있거나 온도 페이지가 열려 있을 때만 기록
只在菜单栏显示电池或打开电池页面时记录	메뉴 막대에 배터리를 표시하거나 배터리 페이지가 열려 있을 때만 기록
只显示菜单栏时的采样间隔；打开弹窗或主窗口时为 1 秒（进程页 2 秒）	메뉴 막대만 표시할 때의 측정 간격입니다. 팝오버나 주 윈도우가 열리면 1초(프로세스 페이지는 2초)입니다
只查找以该应用包名命名的文件，以及 Application Support、Logs 下与应用同名的目录；钥匙串与其他应用共享的数据不会动。程序坞里的图标会一并移除	앱 번들 ID와 이름이 같은 파일 및 Application Support와 Logs의 앱 이름과 같은 폴더만 찾습니다. 키체인과 다른 앱의 공유 데이터는 유지합니다. Dock 아이콘도 제거합니다
只设置了系统代理：浏览器等应用走代理，命令行工具、游戏等不读代理设置的程序仍在直连。要接管全部流量，可以开启增强模式或 TUN 模式。	시스템 프록시만 설정되어 있습니다. 브라우저 등은 프록시를 사용하지만 설정을 따르지 않는 명령줄 도구와 게임은 직접 연결합니다. 모든 트래픽을 처리하려면 향상 모드나 TUN 모드를 켜세요.
可以恢复，但清空废纸篓前不会释放空间	복원할 수 있지만 휴지통을 비우기 전에는 공간이 확보되지 않습니다
可执行文件：{}	실행 파일: {}
可清理 · 已选 {} 项	정리 가능 · {}개 선택됨
可清除	제거 가능
可清除是系统随时可以腾出的缓存；访达显示的“可用”把它算在内	제거 가능 공간은 시스템이 언제든 비울 수 있는 캐시입니다. Finder의 사용 가능 공간에 포함됩니다
可用	사용 가능
可用 {}	사용 가능 {}
可用 {} / 共 {}	여유 {} / 전체 {}
可用内存只剩 {}，系统正在压缩和交换内存。关闭不用的应用可以缓解。	사용 가능한 메모리가 {} 남아 시스템이 압축과 스왑을 수행 중입니다. 사용하지 않는 앱을 종료하면 도움이 됩니다.
可用空间包含系统可以随时清除的缓存，与访达显示一致	사용 가능 공간에는 제거 가능한 캐시가 포함되어 Finder와 일치합니다
可访问	접속 가능
右侧风扇	오른쪽 팬
右耳	오른쪽
各核心占用	코어별 사용률
各核心负载	코어별 부하
各项指标正常	모든 지표 정상
合上屏幕时 Mac 不进入睡眠，下载、渲染、远程连接不中断。	덮개를 닫아도 Mac이 잠자기에 들어가지 않아 다운로드, 렌더링, 원격 연결이 계속됩니다.
合并为一个	하나로 합치기
合盖后继续运行	덮개를 닫아도 계속 실행
合盖电量下限	덮개 모드 최소 배터리
合盖睡眠	덮개를 닫으면 잠자기
合盖运行	덮개 닫고 실행
合盖运行时散热变差，请勿放入包中。使用电池且电量低于 {}% 时会自动关闭。	덮개를 닫으면 냉각이 약해지므로 가방에 넣지 마세요. 배터리 잔량이 {}% 미만이면 자동으로 꺼집니다.
合盖运行设置	덮개 모드 설정
合盖运行需要修改系统睡眠设置，需安装辅助工具（管理员授权一次）。	덮개 모드는 시스템 잠자기 설정을 변경하므로 도우미가 필요합니다(최초 한 번 관리자 승인 필요).
同步	동기화
同步失败	동기화 실패
同步的内容：菜单栏项目与风格、刷新频率、外观与语言、详情弹窗的区块、连接探测、通知、快捷键、风扇安全温度、合盖电量下限。当前页面、辅助工具与历史记录留在本机。	동기화 대상: 메뉴 막대 항목과 스타일, 새로 고침 빈도, 모양과 언어, 팝오버 영역, 연결 탐색, 알림, 단축키, 팬 안전 온도, 덮개 모드 최소 배터리. 현재 페이지, 도우미, 기록은 이 Mac에 유지됩니다.
后台低频探测	저빈도 백그라운드 측정
启动于	부팅 시각
启动时和之后每天检查一次，发现新版本时显示更新摘要	실행 시와 이후 매일 한 번 확인하고 새 버전이 있으면 업데이트 내용을 표시합니다
启动磁盘	시동 디스크
启动磁盘可用空间低于 10% 或 10 GB，每 10 分钟检查一次	시동 디스크의 여유 공간이 10% 또는 10 GB 미만인지 10분마다 확인
启动磁盘已用占比	시동 디스크 사용률
启动项	시작 항목
启用	켜기
启用 {}	{} 활성화
启用失败：{}	활성화 실패: {}
哔哩哔哩	Bilibili
唤醒	깨우기
团队 {}	팀 {}
国内	중국 내
国内分省三网延迟	중국 지역별 3대 통신사 지연
国内网站也绕到了{}，访问会变慢，也可能触发风控。	중국 사이트도 {}(으)로 우회하여 느려지거나 보안 검사가 발생할 수 있습니다.
国内网站直连，国际网站经 {} 的{}。	중국 사이트는 직접 연결하고 해외 사이트는 {}의 {}을(를) 통합니다.
国内网站走了代理，访问会绕路变慢。	중국 사이트가 프록시를 통해 우회하므로 연결이 느려집니다.
国内网络建议选阿里云或腾讯；选路由器只检测本地连接	중국 내에서는 Alibaba Cloud 또는 Tencent를 권장합니다. 라우터는 로컬 연결만 확인합니다
图形	그래픽
图形处理器	GPU
图形核心	GPU 코어
图标	아이콘
圆环	링
圆环表示当前占用比例	링은 현재 사용률을 표시합니다
在 cleanip.io 查看这个 IP 的完整报告	cleanip.io에서 이 IP의 전체 보고서 열기
在主窗口打开“{}”	주 윈도우에서 “{}” 열기
在程序坞显示图标	Dock에 아이콘 표시
在线升级	온라인 업데이트
在线升级：发现新版本时显示更新摘要，一键安装并自动重启	온라인 업데이트: 변경 사항을 확인하고 한 번의 클릭으로 설치 및 자동 재실행
在菜单栏显示	메뉴 막대에 표시
在菜单栏显示{}	메뉴 막대에 {} 표시
在访达中显示	Finder에서 보기
型号	모델
域名，例如 example.com	도메인(예: example.com)
处理器	프로세서
处理器核心	CPU 코어
备用空间	예비 공간
备用空间低于阈值，建议备份	예비 공간이 기준 미만입니다. 백업을 권장합니다
外置硬盘、U 盘、镜像与网络共享	외장 드라이브, USB 메모리, 디스크 이미지, 네트워크 공유
外观	모양
存储	저장 공간
它只做这几件事	다음 기능만 수행합니다
安全温度	안전 온도
安装	설치
安装包	설치 파일
