# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
CPU 温度过高	حرارة CPU مرتفعة جدًا
CPU 负载偏高	حمل CPU مرتفع
CPU 负载很高	حمل CPU مرتفع جدًا
CPU 过热	فرط حرارة CPU
CPU：{}（以单核满载为 100%）	CPU: {} (100% = نواة واحدة بكامل طاقتها)
Cloudflare 接入节点（机场代码）	موقع Cloudflare الطرفي (رمز المطار)
Cloudflare（1.1.1.1）	Cloudflare (1.1.1.1)
CoreSimulator 的动态库与运行时缓存	ذاكرة dyld وبيئات CoreSimulator المؤقتة
DNS 地址格式不正确	عنوان DNS غير صالح
DNS 已设置为 {}	تم تعيين DNS إلى {}
DNS 缓存已刷新	تم مسح ذاكرة DNS المؤقتة
DerivedData，下次编译时自动重建	DerivedData؛ يُعاد إنشاؤها عند البناء التالي
GPU 占用	استخدام GPU
Globalping 返回了错误（HTTP {}）	أعاد Globalping خطأً (HTTP {})
Google（8.8.8.8）	Google (8.8.8.8)
IP 地址	عناوين IP
IP 类型	نوع IP
IP 纯净度	نقاء IP
IPv6 没有经过代理：只走 IPv6 的连接会直接暴露本机地址 {}。	لا يمر IPv6 عبر الوكيل: تكشف الاتصالات التي تستخدم IPv6 فقط عنوانك {}.
IPv6 连接也经过代理。	تمر اتصالات IPv6 أيضًا عبر الوكيل.
SMC [{}] 不支持的数据类型 {}	SMC [{}]: نوع بيانات غير مدعوم {}
SMC [{}] 被固件拒绝 (0x{})	SMC [{}]: رفضه البرنامج الثابت (0x{})
SMC [{}] 调用失败 ({})	SMC [{}]: فشل الاستدعاء ({})
SMC 通信与 Apple Silicon 风扇解锁流程移植自该项目 · MIT License	نُقل الوصول إلى SMC وتسلسل فتح تحكم مراوح Apple Silicon من هذا المشروع · ترخيص MIT
SSD 健康	صحة SSD
Time Machine 在备份之间会先在本机留下快照，它们占的空间计入“可清除”，系统缺空间时会自动删。手动删除不影响已完成的备份。	يحتفظ Time Machine بلقطات على هذا الـ Mac بين النسخ الاحتياطية. تُحتسب مساحتها ضمن القابل للإزالة ويحذفها macOS عند نقص المساحة. لا يؤثر حذفها يدويًا في النسخ الاحتياطية المكتملة.
VPN / 代理	VPN / وكيل
VPN / 隧道	VPN / نفق
VPN 不允许绕开它连接	لا تسمح VPN باتصالات تتجاوزها
VPN 不允许绕开它连接，读不到本机网络原本的出口。下方按出口列出各网站。	لا تسمح VPN باتصالات تتجاوزها، لذا لا يمكن قراءة منفذ خروج شبكتك الأصلي. تُعرض المواقع أدناه حسب منفذ الخروج.
VPN 隧道	نفق VPN
WebDAV 地址发生重定向，请填写最终目录地址	عنوان WebDAV يعيد التوجيه. أدخل عنوان URL النهائي للمجلد
WebDAV 存储空间不足	مساحة WebDAV ممتلئة
WebDAV 拒绝访问，请检查目录读写权限	رُفض الوصول إلى WebDAV. تحقق من أذونات قراءة المجلد والكتابة فيه
WebDAV 目录不存在，请先在服务器上创建该目录	مجلد WebDAV غير موجود. أنشئه على الخادم أولًا
WebDAV 目录地址	عنوان URL لمجلد WebDAV
WebDAV 认证失败，请检查用户名和密码	فشلت مصادقة WebDAV. تحقق من اسم المستخدم وكلمة السر
WebDAV 返回错误：{}	أعاد WebDAV خطأً: {}
XStats {} 已发布	يتوفر XStats {}
XStats 基于 OpenStats 开发，感谢原项目的开源贡献 · MIT License	يستند XStats إلى OpenStats. شكرًا للمشروع الأصلي على مساهماته مفتوحة المصدر · ترخيص MIT
XStats 控制	يتحكم به XStats
XStats 控制中	يتحكم به XStats
XStats 的通知被关闭了，打开的提醒不会显示。	إشعارات XStats معطلة، لذا لن تظهر التنبيهات.
XStats 辅助工具	أداة XStats المساعدة
XStats 通知测试	إشعار اختبار XStats
XStats 防休眠	XStats منع الإسبات
XStats 需要授权以安装新版本。	يحتاج XStats إلى إذن لتثبيت الإصدار الجديد.
XStats 需要管理员权限来修改“{}”的 DNS。	يحتاج XStats إلى صلاحيات مسؤول لتغيير DNS الخاص بـ «{}».
XStats 需要管理员权限来删除 Time Machine 本地快照。	يحتاج XStats إلى صلاحيات مسؤول لحذف لقطات Time Machine المحلية.
XStats 需要管理员权限来刷新 DNS 缓存。	يحتاج XStats إلى صلاحيات مسؤول لمسح ذاكرة DNS المؤقتة.
XStats 需要管理员权限来释放内存。	يحتاج XStats إلى صلاحيات مسؤول لتحرير الذاكرة.
XStats-诊断-{}	XStats-تشخيص-{}
XStats-诊断-{}.zip	XStats-تشخيص-{}.zip
Xcode 归档	أرشيفات Xcode
Xcode 编译缓存	ذاكرة بناء Xcode المؤقتة
cleanip.io 对这次评分的把握：各数据源结论越一致越高	مدى ثقة cleanip.io في التقييم: ترتفع كلما زاد اتفاق المصادر
macOS 系统目录（系统组件）	مجلد نظام macOS (مكوّن نظام)
npm 缓存	ذاكرة npm المؤقتة
Go 缓存	ذاكرة Go المؤقتة
Rust 缓存	ذاكرة Rust المؤقتة
uv 缓存	ذاكرة uv المؤقتة
Yarn 缓存	ذاكرة Yarn المؤقتة
pnpm 缓存	ذاكرة pnpm المؤقتة
Bun 缓存	ذاكرة Bun المؤقتة
npm 下载缓存，由 npm 自行清理	ذاكرة تنزيل npm المؤقتة، ينظفها npm بنفسه
Yarn 全局与离线镜像缓存，由 Yarn 自行清理	ذاكرة Yarn العامة ومرآة العمل دون اتصال، ينظفها Yarn بنفسه
pnpm 内容寻址存储，仅清理未被引用的包	مخزن pnpm المعنون بالمحتوى؛ تزال الحزم غير المشار إليها فقط
Bun 下载的包缓存，由 Bun 自行清理	ذاكرة تنزيل حزم Bun المؤقتة، ينظفها Bun بنفسه
Go 编译与完整模块缓存，由 go clean 清理	ذاكرة بناء Go والوحدات الكاملة، ينظفها go clean
Cargo 注册表与 Git 依赖缓存，需要 cargo-cache	ذاكرة سجل Cargo وتبعيات Git المؤقتة؛ تتطلب cargo-cache
uv 下载的 Python 包与构建缓存，由 uv 自行清理	ذاكرة حزم Python والبناء التي نزّلها uv، ينظفها uv بنفسه
未找到 {}，无法安全清理	لم يتم العثور على {}، لذلك لا يمكن تنظيفه بأمان
{} 清理失败（退出码 {}）	فشل تنظيف {} (رمز الخروج {})
{} 清理失败（退出码 {}）：{}	فشل تنظيف {} (رمز الخروج {}): {}
{}：未找到 {}，无法安全清理	{}: لم يتم العثور على {}، لذلك لا يمكن تنظيفه بأمان
支持的内容先移到废纸篓；工具缓存由对应命令直接清理。	تُنقل العناصر المدعومة إلى سلة المهملات أولًا؛ وتُنظف ذاكرة الأدوات مباشرة بأوامرها.
支持的缓存可以恢复；工具缓存始终由对应命令直接清理	يمكن استعادة الذاكرة المؤقتة المدعومة؛ وتُنظف ذاكرة الأدوات دائمًا مباشرة بأوامرها
{} {} 英寸	{} بحجم {} بوصة
{} · {} 个	{} · {}
{} · {} 核	{} · {} نوى
{} · 约 {}	{} · نحو {}
{} · 负载 {}/{}	{} · الحمل {}/{}
{} 个	{}
{} 个传感器	{} مستشعرات
{} 个应用，系统自带的不列出	{} تطبيقات؛ لا تُعرض تطبيقات النظام
{} 个网站	{} مواقع
{} 个进程	{} عمليات
{} 中位延迟	وسيط {}
{} 分钟	{} دقيقة
{} 可用 {} · 共 {}	{}: {} متاحة · الإجمالي {}
{} 天	{} يوم
{} 天 {} 小时	{} يوم {} ساعة
{} 小时	{} ساعة
{} 小时 {} 分钟	{} ساعة {} دقيقة
{} 核	{} نوى
{} 核图形处理器	GPU بعدد {} نوى
{} 正在运行	{} قيد التشغيل
{} 正在运行，卸载前需要先退出。	{} قيد التشغيل. أنهِ التطبيق قبل إلغاء تثبيته.
{} 测	عند {}
{} 秒	{} ث
{} 秒 / {} MB	{} ث / {} MB
{} 秒·{} MB	{} ث · {} MB
{} 组	{} مجموعات
{} 缓存	ذاكرة {} المؤقتة
{} 英寸	{} بوصة
{} 项	{} عناصر
{} 项 · 可直接停用	{} عناصر · يمكن تعطيلها هنا
{} 项 · 需要管理员权限，只读	{} عناصر · تتطلب مسؤولًا، للقراءة فقط
{} 项失败	فشل {}
{}%（阈值 {}%）	{}% (الحد {}%)
{}/{} 个节点连得上	{}/{} عقد قابلة للوصول
{}{}只剩 {}%，记得充电。	تبقى لدى {}{} {}%. حان وقت الشحن.
{}{}（{}）	{}{} ({})
{}。系统会自动分配任务，不用你操心	{}. يوزع macOS المهام تلقائيًا.
{}中	{}
{}前	قبل {}
{}前检测	تم الفحص قبل {}
{}后充满	يكتمل الشحن خلال {}
{}电量低	بطارية {} منخفضة
{}（{}）	{} ({})
{}（代理接管）	{} (يعالجه الوكيل)
{}，{}，健康 {}	{}، {}، الصحة {}
{}，后台{}	{}، في الخلفية {}
{}：{}	{}: {}
{}：{}/{} 个节点连得上	{}: {}/{} عقد قابلة للوصول
~/.npm/_cacache，安装依赖时自动重新下载	~/.npm/_cacache؛ يُنزّل مجددًا عند تثبيت التبعيات
~/Library/Caches 中各应用的缓存，删除后会按需重建	ذاكرات التطبيقات المؤقتة في ~/Library/Caches؛ تُعاد عند الحاجة
~/Library/Logs 中的日志和诊断报告	السجلات وتقارير التشخيص في ~/Library/Logs
· 结果反映 XStats 自己发出的请求，按应用分流的规则下其他应用可能走不同出口	· تعكس النتائج طلبات XStats؛ قد تستخدم تطبيقات أخرى منافذ خروج مختلفة مع قواعد التوجيه حسب التطبيق
“{}”只剩 {} 可用。可以用 XStats 的清理功能释放缓存。	لم يتبق في «{}» سوى {} متاحة. استخدم تنظيف XStats لمسح الذاكرة المؤقتة.
“{}”（{}）会移到废纸篓，可以从废纸篓放回。	سيُنقل «{1}» ({2}) إلى سلة المهملات؛ ويمكنك استعادته منها.
、	، 
一般	متوسط
一键安装	تثبيت الآن
上传	رفع
上传 {} · 下载 {}	رفع {} · تنزيل {}
上传与下载速度、IP 地址、DNS	سرعات الرفع والتنزيل وعناوين IP وDNS
上传并覆盖	رفع واستبدال
上传本机设置	رفع إعدادات هذا الـ Mac
上次同步：{}	آخر مزامنة: {}
上次更新：{}	آخر تحديث: {}
上次检查 {}，最新 {}	آخر فحص {}، أحدث إصدار {}
上次检查发现问题	وجد الفحص الأخير مشكلات
上次检查正常	الفحص الأخير سليم
上次检查：{}	آخر فحص: {}
上行	رفع
下行	تنزيل
下载	تنزيل
下载失败：{}	فشل التنزيل: {}
下载并应用	تنزيل وتطبيق
下载目录中的 .dmg / .pkg / .xip / .iso，移到废纸篓	ملفات .dmg / .pkg / .xip / .iso في التنزيلات؛ تُنقل إلى سلة المهملات
不可用	غير متاح
不在允许清理的目录内	ليس داخل مجلد مسموح بتنظيفه
不在可卸载的位置：{}	موقع لا يسمح بإلغاء التثبيت: {}
不提供电量	لا توجد معلومات بطارية
不支持 IPv6	IPv6 غير مدعوم
不是团队 {} 签名的完整应用（{}）	ليس تطبيقًا كاملًا موقّعًا من الفريق {} ({})
不是应用程序	ليس تطبيقًا
不是绝对路径	ليس مسارًا مطلقًا
不经过代理	بدون وكيل
不能删除清理目录本身	لا يمكن حذف مجلد التنظيف نفسه
不限	بلا حد
不限时	بلا حد زمني
与 30 秒前持平	كما كان قبل 30 ثانية
丢包 {}%	فقد {}%
严重	حرج
中位延迟	الوسيط
中等负载	حمل متوسط
中等风险	خطورة متوسطة
中继	ترحيل
主显示器	الشاشة الرئيسية
主窗口与弹窗的配色；菜单栏始终跟随系统	ألوان النافذة والنوافذ المنبثقة؛ تتبع قائمة النظام مظهر النظام دائمًا
云端只保存邮箱、姓名与设置文档	تحتفظ السحابة ببريدك الإلكتروني واسمك ومستند الإعدادات فقط
云端已有 {} 在 {} 保存的设置，和这台 Mac 上的不一样。要用哪一份？	حفظ {1} إعدادات في السحابة {2} وهي تختلف عن إعدادات هذا الـ Mac. أيهما تريد استخدامه؟
交换区	التبديل
仅系统不休眠	إبقاء النظام مستيقظًا
介质错误	أخطاء وسيط التخزين
从左侧选择应用，或把应用拖到这里	اختر تطبيقًا من اليسار أو أسقطه هنا
从未	أبدًا
从这个节点下载测速，上限 {}	تنزيل من هذه العقدة بحد أقصى {}
代理	وكيل
代理出口	منفذ خروج الوكيل
代理出口不支持 IPv6，IPv6 连接也不会绕过代理泄露地址。	لا يدعم منفذ خروج الوكيل IPv6، ولا تُسرّب اتصالات IPv6 عنوانك بتجاوز الوكيل.
代理出口（{}）	منفذ خروج الوكيل ({})
代理方式	إعداد الوكيل
代理没有生效	الوكيل لا يعمل
代理软件	تطبيقات الوكيل
以单核满载为 100%	100% = نواة واحدة بكامل طاقتها
以后再说	لاحقًا
以系统权限运行的后台服务，只接受本应用的请求	خدمة خلفية بصلاحيات النظام لا تقبل الطلبات إلا من هذا التطبيق
仪表盘	لوحة المعلومات
企业	شركة
企业 IP	IP أعمال
企业网络	شبكة أعمال
会一并找出它留在资源库里的缓存、偏好设置、容器与登录启动项，全部移到废纸篓，可以放回	يعثر أيضًا على ذاكرته المؤقتة وتفضيلاته وحاوياته وعناصر بدء التشغيل في المكتبة وينقلها إلى سلة المهملات حيث يمكن استعادتها
会结束这个应用的 {} 个进程，未保存的内容可能会丢失。强制退出会立即结束，不给应用保存的机会。	سينهي هذا {} عمليات للتطبيق وقد تفقد العمل غير المحفوظ. يؤدي فرض الإنهاء إلى إيقافها فورًا دون إتاحة الحفظ.
传输速率	معدل الارتباط
位置	الموقع
位置：{}	الموقع: {}
低负载	حمل خفيف
低风险	خطورة منخفضة
住宅 IP	IP منزلي
住宅代理	وكيل منزلي
住宅宽带	منزلي
住宅概率	احتمال الاتصال المنزلي
余量 {}	السعة المتبقية {}
使用 {} 登录	تسجيل الدخول باستخدام {}
使用云端设置	استخدام إعدادات السحابة
使用历史	سجل الاستخدام
使用电池	على البطارية
使用电池且电量低于该值时，自动关闭合盖运行	إيقاف وضع الغطاء المغلق عندما تقل البطارية عن هذا المستوى
使用自己的 WebDAV 保存一份设置文件，仅手动上传和下载，不会自动合并。	احفظ ملف إعدادات على خادم WebDAV الخاص بك. الرفع والتنزيل يدويان ولا تُدمج التغييرات تلقائيًا.
例如 1.1.1.1, 8.8.8.8	مثلًا 1.1.1.1, 8.8.8.8
保存配置	حفظ الإعداد
保持唤醒	منع الإسبات
保持运行	إبقاء التشغيل
信号强度	الإشارة
修改 DNS 需要管理员权限：已安装辅助工具时直接修改，否则每次弹出系统授权框。	يتطلب تغيير DNS صلاحيات مسؤول: يُطبّق مباشرة عند تثبيت الأداة المساعدة، وإلا يطلب النظام الإذن كل مرة.
修改地址	تعديل العناوين
偏好设置	التفضيلات
偏高	مرتفع
停止	إيقاف
停用	تعطيل
停用失败：{}	فشل التعطيل: {}
健康 {}	الصحة {}
健康度	الصحة
健康度是现在充满时的容量与出厂容量之比，低于 80% 时苹果建议更换电池	الصحة هي نسبة سعة الشحن الكامل الحالية إلى السعة الأصلية؛ توصي Apple باستبدال البطارية عندما تنخفض عن 80%
充电上限可在系统设置中设为 80%–100%，长期接电源时有助于延缓电池老化	عيّن حد شحن بين 80% و100% في إعدادات النظام لتقليل تقادم البطارية عند توصيلها بالطاقة طويلًا
充电中	جارٍ الشحن
充电盒	العلبة
全局代理	وكيل شامل
全局快捷键（在任何应用中都能使用，需要包含 ⌘、⌥ 或 ⌃）	اختصارات عامة (تعمل في أي تطبيق؛ يجب أن تتضمن ⌘ أو ⌥ أو ⌃)
全球探针看目标	مجسّات عالمية
全球节点	عقد عالمية
全选	تحديد الكل
全部	الكل
全部删除	حذف الكل
全部经代理	كل المرور عبر الوكيل
公网 IP	IP عام
公网 IP 查询	استعلام IP العام
公网 IPv4	IPv4 عام
公网 IPv6	IPv6 عام
共 {}	الإجمالي {}
共 {} 条记录	{} سجلات
共 {}，{} 个条目 · {}	{1} في {2} عناصر · {3}
关	متوقف
关于	حول
关于 XStats	حول XStats
关闭	متوقف
其他	أخرى
其他位置	مواقع أخرى
其他磁盘	أقراص أخرى
其他程序手动控制	يتحكم به تطبيق آخر
其他程序控制	تطبيق آخر
内存	الذاكرة
内存 {}	الذاكرة {}
内存与图形	الذاكرة والرسومات
内存压力严重	ضغط ذاكرة حرج
内存压力严重的时段：{} 个（图上红色标记）	فترات ضغط الذاكرة الحرج: {} (محددة بالأحمر)
内存压力偏高	ضغط الذاكرة مرتفع
内存压力持续 30 秒处于严重，系统开始大量换页	يبقى ضغط الذاكرة حرجًا 30 ثانية ويبدأ النظام بتبديل الصفحات بكثافة
内存已整理	تم تنظيف الذاكرة
内存水位	مستويات الذاكرة
内存类型	نوع الذاكرة
内存：{}	الذاكرة: {}
写入	كتابة
出口	منفذ الخروج
出口与分流	الخروج والتوجيه
出口与分流：检查 VPN 与代理是否生效、各网站从哪个出口出去	الخروج والتوجيه: تحقق من عمل VPN والوكيل ومنفذ الخروج المستخدم لكل موقع
出口依据	أساس التحديد
出口未知	منفذ خروج مجهول
出现介质错误，建议备份	عُثر على أخطاء في وسيط التخزين؛ انسخ بياناتك احتياطيًا
分别经物理网卡、系统代理与 VPN 隧道访问检测目标，约需 10 秒。	جارٍ الوصول إلى أهداف الاختبار عبر واجهة الشبكة ووكيل النظام ونفق VPN. يستغرق هذا نحو 10 ثوانٍ.
分流正常	التوجيه المنقسم يعمل
切换到浅色	التبديل إلى الفاتح
切换到深色	التبديل إلى الداكن
刚刚	الآن
刚刚检测	فُحص للتو
刚刚被使用	استُخدم مؤخرًا
删除	حذف
删除…	حذف…
删除中…	جارٍ الحذف…
删除云端数据	حذف بيانات السحابة
删除云端数据？	حذف بيانات السحابة؟
删除全部本地快照？	حذف جميع اللقطات المحلية؟
删除账号、所有登录方式与云端保存的设置；这台 Mac 上的设置保留	يحذف الحساب وكل طرق تسجيل الدخول وإعدادات السحابة؛ تبقى إعدادات هذا الـ Mac
到时后自动恢复系统默认的睡眠行为。	يُستأنف سلوك الإسبات المعتاد عند انتهاء الوقت.
刷新	تحديث
刷新 DNS 缓存	مسح ذاكرة DNS المؤقتة
刷新 DNS 缓存、释放内存、为网络服务设置 DNS 服务器	مسح ذاكرة DNS المؤقتة وتحرير الذاكرة وتعيين خوادم DNS لخدمات الشبكة
刷新状态	تحديث الحالة
刷新间隔	فترة التحديث
刷新频率	معدل التحديث
剩余 {}	المتبقي {}
剩余寿命	العمر المتبقي
剩余寿命 {}% · 已写入 {}	العمر المتبقي {}% · تمت كتابة {}
剪切	قص
功耗	استهلاك الطاقة
包名是 {}	معرّف الحزمة هو {}
包含城市数据	تضمين بيانات المدن
协议版本	إصدار البروتوكول
单个节点一次测速最多花的时间与流量，先到哪个停哪个	حد الوقت والبيانات لاختبار سرعة عقدة واحدة؛ يتوقف عند بلوغ أيهما أولًا
单行	سطر واحد
单行文字	نص في سطر واحد
占整机 CPU 的比例：{} 个核心全部跑满为 100%	نسبة CPU الإجمالية: تشغيل كل النوى البالغ عددها {} بكامل طاقتها يساوي 100%
占用	الاستخدام
占用超过 85% 时数值与图形显示为红色	عرض القيم والرسومات بالأحمر إذا تجاوز الاستخدام 85%
占用超过 85%（电池电量低于 20%）时数值与图形显示为红色	تظهر القيم والرسومات بالأحمر فوق استخدام 85% (أو بطارية دون 20%)
占用高于	الاستخدام أعلى من
卷	وحدة التخزين
卸载	إلغاء التثبيت
卸载“{}”？	إلغاء تثبيت «{}»؟
卸载失败：{}	فشل إلغاء التثبيت: {}
卸载应用	إلغاء تثبيت التطبيقات
卸载辅助工具	إلغاء تثبيت الأداة المساعدة
历史	السجل
历史记录	السجل
历史记录已关闭，下面是关闭前记录的数据。	تسجيل السجل متوقف. تظهر أدناه البيانات المسجلة قبل إيقافه.
压力 {}	الضغط {}
压力{}	{}
压力走势	اتجاه الضغط
压缩	مضغوطة
压缩与交换	الضغط والتبديل
压缩为你省下	المساحة الموفرة بالضغط
压缩包里应当只有一个 .app	يجب أن يحتوي الأرشيف على ملف .app واحد فقط
压缩比	نسبة الضغط
原因	السبب
原生 / 广播	أصلي / بث
原生 IP	IP أصلي
去批准	الموافقة
去授权	منح الوصول
双行圆点	نقاط
双行文字	نص في سطرين
双行箭头	أسهم
反向解析	DNS عكسي
反馈问题	الإبلاغ عن مشكلة
发现新版本 {}	يتوفر الإصدار {}
发现问题	وُجدت مشكلات
发现问题：{}	وُجدت مشكلة: {}
发生这些状况时发送系统通知，点通知打开对应页面	إرسال إشعار عند حدوث هذه الحالات؛ انقر عليه لفتح الصفحة المعنية
发送	إرسال
发送测试通知	إرسال إشعار اختبار
取消	إلغاء
受保护	محمي
受保护的项目：{}	عنصر محمي: {}
另一台 Mac	Mac آخر
另有 {} 个出口，见网站分流	{} منافذ خروج أخرى، راجع توجيه المواقع
另有 {} 移到废纸篓	نُقل أيضًا {} إلى سلة المهملات
另有 {} 项	{} إضافية
只同步偏好设置，不上传监控数据、历史记录或 WebDAV 连接信息。每台 Mac 需单独配置 WebDAV。	تُزامن التفضيلات فقط. لا تُرفع بيانات المراقبة أو السجل أو معلومات اتصال WebDAV. اضبط WebDAV على كل Mac على حدة.
只含当前用户的进程	عملياتك فقط
只在打开温度与风扇页面时记录	يُسجل فقط عند فتح «الحرارة والمراوح»
只在菜单栏显示 GPU 或打开 GPU 相关页面时记录	يُسجل فقط عند عرض GPU في شريط القوائم أو فتح صفحة GPU
只在菜单栏显示温度、开启过热通知或打开温度页面时记录	يُسجل فقط عند عرض الحرارة في شريط القوائم أو تفعيل تنبيهات فرط الحرارة أو فتح صفحة الحرارة
只在菜单栏显示电池或打开电池页面时记录	يُسجل فقط عند عرض البطارية في شريط القوائم أو فتح صفحة البطارية
只显示菜单栏时的采样间隔；打开弹窗或主窗口时为 1 秒（进程页 2 秒）	فترة أخذ العينات عند عرض شريط القوائم فقط؛ ثانية عند فتح نافذة أو نافذة منبثقة (ثانيتان في العمليات)
只查找以该应用包名命名的文件，以及 Application Support、Logs 下与应用同名的目录；钥匙串与其他应用共享的数据不会动。程序坞里的图标会一并移除	يشمل الملفات المسماة بمعرّف حزمة التطبيق ومجلدات اسمه في Application Support وLogs فقط. لا يمس سلسلة المفاتيح أو البيانات المشتركة مع تطبيقات أخرى. يُزال رمز Dock أيضًا
只设置了系统代理：浏览器等应用走代理，命令行工具、游戏等不读代理设置的程序仍在直连。要接管全部流量，可以开启增强模式或 TUN 模式。	ضُبط وكيل النظام فقط: تستخدمه المتصفحات، لكن أدوات سطر الأوامر والألعاب والبرامج التي تتجاهل إعداداته تتصل مباشرة. فعّل الوضع المحسّن أو TUN لتوجيه كل المرور.
可以恢复，但清空废纸篓前不会释放空间	يمكن استعادته، لكن لا تتحرر المساحة حتى إفراغ سلة المهملات
可执行文件：{}	الملف التنفيذي: {}
可清理 · 已选 {} 项	قابل للتنظيف · تم تحديد {}
可清除	قابل للإزالة
可清除是系统随时可以腾出的缓存；访达显示的“可用”把它算在内	هذه ذاكرة مؤقتة يمكن للنظام تحريرها في أي وقت؛ يشملها Finder ضمن المساحة المتاحة
可用	متاح
可用 {}	{} متاحة
可用 {} / 共 {}	{1} متاحة من {2}
可用内存只剩 {}，系统正在压缩和交换内存。关闭不用的应用可以缓解。	لم يتبق سوى {} من الذاكرة ويضغط النظام الذاكرة ويبدلها. يساعد إنهاء التطبيقات غير المستخدمة.
可用空间包含系统可以随时清除的缓存，与访达显示一致	تشمل المساحة المتاحة الذاكرات المؤقتة القابلة للإزالة كما في Finder
可访问	يمكن الوصول إليه
右侧风扇	المروحة اليمنى
右耳	اليمنى
各核心占用	حمل كل نواة
各核心负载	حمل النوى
各项指标正常	كل المؤشرات طبيعية
合上屏幕时 Mac 不进入睡眠，下载、渲染、远程连接不中断。	يبقى Mac مستيقظًا عند إغلاق الغطاء، فتستمر التنزيلات والتصيير والجلسات البعيدة.
合并为一个	مدمج
合盖后继续运行	مواصلة التشغيل مع الغطاء المغلق
合盖电量下限	حد البطارية لوضع الغطاء المغلق
合盖睡眠	إسبات الغطاء
合盖运行	الغطاء مغلق
合盖运行时散热变差，请勿放入包中。使用电池且电量低于 {}% 时会自动关闭。	يضعف التبريد مع الغطاء المغلق، فلا تضع Mac في حقيبة. يتوقف تلقائيًا عندما تقل البطارية عن {}%.
合盖运行设置	وضع الغطاء المغلق
合盖运行需要修改系统睡眠设置，需安装辅助工具（管理员授权一次）。	يغيّر وضع الغطاء إعدادات إسبات النظام ويتطلب الأداة المساعدة (موافقة مسؤول مرة واحدة).
同步	مزامنة
同步失败	فشلت المزامنة
同步的内容：菜单栏项目与风格、刷新频率、外观与语言、详情弹窗的区块、连接探测、通知、快捷键、风扇安全温度、合盖电量下限。当前页面、辅助工具与历史记录留在本机。	تُزامن عناصر شريط القوائم وأنماطها ومعدل التحديث والمظهر واللغة وأقسام النوافذ المنبثقة وفحص الاتصال والإشعارات والاختصارات وحرارة أمان المراوح وحد بطارية الغطاء المغلق. تبقى الصفحة الحالية والأداة المساعدة والسجل على هذا الـ Mac.
后台低频探测	الفحص في الخلفية
启动于	وقت الإقلاع
启动时和之后每天检查一次，发现新版本时显示更新摘要	يفحص عند التشغيل ويوميًا ويعرض المستجدات عند وجود تحديث
启动磁盘	قرص بدء التشغيل
启动磁盘可用空间低于 10% 或 10 GB，每 10 分钟检查一次	المتاح في قرص بدء التشغيل أقل من 10% أو 10 GB؛ يُفحص كل 10 دقائق
启动磁盘已用占比	استخدام قرص بدء التشغيل
启动项	عناصر بدء التشغيل
启用	تفعيل
启用 {}	تفعيل {}
启用失败：{}	فشل التفعيل: {}
哔哩哔哩	Bilibili
