# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
暂无数据	データがありません
CPU 温度 {}，已持续超过 1 分钟。可以检查高占用进程，或在“温度与风扇”里提高风扇转速。	CPU温度が1分以上{}です。使用率の高いプロセスを確認するか、「温度とファン」でファンの回転数を上げてください。
CPU 温度偏高	CPU温度が高め
CPU 温度持续 1 分钟高于设定值	CPU温度が設定値を1分間超えた状態
CPU 温度达到 {}，已恢复系统自动控制	CPU温度が{}に達したため、システムの自動制御に戻しました
CPU 温度过高	CPU温度が高すぎます
CPU 负载偏高	CPU負荷が高め
CPU 负载很高	CPU負荷が非常に高い
CPU 过热	CPUの過熱
CPU：{}（以单核满载为 100%）	CPU：{}（1コアの最大使用率を100%とする）
Cloudflare 接入节点（机场代码）	Cloudflare接続拠点（空港コード）
Cloudflare（1.1.1.1）	Cloudflare（1.1.1.1）
CoreSimulator 的动态库与运行时缓存	CoreSimulatorの動的ライブラリとランタイムキャッシュ
DNS 地址格式不正确	DNSアドレスの形式が正しくありません
DNS 已设置为 {}	DNSを{}に設定しました
DNS 缓存已刷新	DNSキャッシュを消去しました
DerivedData，下次编译时自动重建	DerivedData（次回のビルド時に再作成）
GPU 占用	GPU使用率
Globalping 返回了错误（HTTP {}）	Globalpingがエラーを返しました（HTTP {}）
Google（8.8.8.8）	Google（8.8.8.8）
IP 地址	IPアドレス
IP 类型	IPの種類
IP 纯净度	IPの信頼度
IPv6 没有经过代理：只走 IPv6 的连接会直接暴露本机地址 {}。	IPv6はプロキシを経由していません。IPv6のみの接続では、このMacのアドレス{}が公開されます。
IPv6 连接也经过代理。	IPv6接続もプロキシを経由します。
SMC [{}] 不支持的数据类型 {}	SMC [{}] 未対応のデータ型 {}
SMC [{}] 被固件拒绝 (0x{})	SMC [{}] ファームウェアが拒否しました（0x{}）
SMC [{}] 调用失败 ({})	SMC [{}] 呼び出しに失敗しました（{}）
SMC 通信与 Apple Silicon 风扇解锁流程移植自该项目 · MIT License	SMC通信とApple Siliconのファン制御解除手順はこのプロジェクトから移植しています · MIT License
SSD 健康	SSDの状態
Time Machine 在备份之间会先在本机留下快照，它们占的空间计入“可清除”，系统缺空间时会自动删。手动删除不影响已完成的备份。	Time Machineはバックアップの間にこのMacへスナップショットを保存します。その容量は「消去可能」に含まれ、空き容量が不足するとmacOSが自動削除します。手動で削除しても完了済みのバックアップに影響はありません。
VPN / 代理	VPN / プロキシ
VPN / 隧道	VPN / トンネル
VPN 不允许绕开它连接	VPNが迂回接続を許可していません
VPN 不允许绕开它连接，读不到本机网络原本的出口。下方按出口列出各网站。	VPNが迂回接続を許可していないため、ネットワーク本来の出口を取得できません。以下に出口別のサイトを表示します。
VPN 隧道	VPNトンネル
WebDAV 地址发生重定向，请填写最终目录地址	WebDAVアドレスがリダイレクトされています。最終的なフォルダURLを入力してください
WebDAV 存储空间不足	WebDAVの空き容量がありません
WebDAV 拒绝访问，请检查目录读写权限	WebDAVへのアクセスが拒否されました。フォルダの読み書き権限を確認してください
WebDAV 目录不存在，请先在服务器上创建该目录	WebDAVフォルダが存在しません。先にサーバー上で作成してください
WebDAV 目录地址	WebDAVフォルダURL
WebDAV 认证失败，请检查用户名和密码	WebDAVの認証に失敗しました。ユーザー名とパスワードを確認してください
WebDAV 返回错误：{}	WebDAVがエラーを返しました：{}
XStats {} 已发布	XStats {}を公開しました
XStats 基于 OpenStats 开发，感谢原项目的开源贡献 · MIT License	XStatsはOpenStatsを基に開発されています。オープンソースへの貢献に感謝します · MIT License
XStats 控制	XStatsによる制御
XStats 控制中	XStatsが制御中
XStats 的通知被关闭了，打开的提醒不会显示。	XStatsの通知がオフのため、アラートは表示されません。
XStats 辅助工具	XStatsヘルパー
XStats 通知测试	XStatsのテスト通知
XStats 防休眠	XStatsスリープ防止
XStats 需要授权以安装新版本。	新しいバージョンのインストールにはXStatsへの許可が必要です。
XStats 需要管理员权限来修改“{}”的 DNS。	「{}」のDNSを変更するには、XStatsに管理者権限が必要です。
XStats 需要管理员权限来删除 Time Machine 本地快照。	Time Machineのローカルスナップショットを削除するには、XStatsに管理者権限が必要です。
XStats 需要管理员权限来刷新 DNS 缓存。	DNSキャッシュを消去するには、XStatsに管理者権限が必要です。
XStats 需要管理员权限来释放内存。	メモリを解放するには、XStatsに管理者権限が必要です。
XStats-诊断-{}	XStats-診断-{}
XStats-诊断-{}.zip	XStats-診断-{}.zip
Xcode 归档	Xcodeアーカイブ
Xcode 编译缓存	Xcodeビルドキャッシュ
cleanip.io 对这次评分的把握：各数据源结论越一致越高	cleanip.ioの評価の確度：情報源の結果が一致するほど高くなります
macOS 系统目录（系统组件）	macOSシステムフォルダ（システムコンポーネント）
npm 缓存	npmキャッシュ
Go 缓存	Goキャッシュ
Rust 缓存	Rustキャッシュ
uv 缓存	uvキャッシュ
Yarn 缓存	Yarnキャッシュ
pnpm 缓存	pnpmキャッシュ
Bun 缓存	Bunキャッシュ
npm 下载缓存，由 npm 自行清理	npmのダウンロードキャッシュ。npmでクリーンアップします
Yarn 全局与离线镜像缓存，由 Yarn 自行清理	Yarnのグローバルキャッシュとオフラインミラー。Yarnでクリーンアップします
pnpm 内容寻址存储，仅清理未被引用的包	pnpmのコンテンツアドレスストア。参照されていないパッケージのみ削除します
Bun 下载的包缓存，由 Bun 自行清理	Bunのパッケージダウンロードキャッシュ。Bunでクリーンアップします
Go 编译与完整模块缓存，由 go clean 清理	Goのビルドキャッシュと完全なモジュールキャッシュ。go cleanでクリーンアップします
Cargo 注册表与 Git 依赖缓存，需要 cargo-cache	CargoのレジストリとGit依存関係キャッシュ。cargo-cacheが必要です
uv 下载的 Python 包与构建缓存，由 uv 自行清理	uvのPythonパッケージとビルドキャッシュ。uvでクリーンアップします
未找到 {}，无法安全清理	{}が見つからないため、安全にクリーンアップできません
{} 清理失败（退出码 {}）	{}のクリーンアップに失敗しました（終了コード{}）
{} 清理失败（退出码 {}）：{}	{}のクリーンアップに失敗しました（終了コード{}）：{}
{}：未找到 {}，无法安全清理	{}：{}が見つからないため、安全にクリーンアップできません
支持的内容先移到废纸篓；工具缓存由对应命令直接清理。	対応する項目は先にゴミ箱へ移動し、ツールキャッシュは各コマンドで直接削除します。
支持的缓存可以恢复；工具缓存始终由对应命令直接清理	対応するキャッシュは復元できますが、ツールキャッシュは常に各コマンドで直接削除します
{} {} 英寸	{} {}インチ
{} · {} 个	{} · {}個
{} · {} 核	{} · {}コア
{} · 约 {}	{} · 約{}
{} · 负载 {}/{}	{} · 負荷 {}/{}
{} 个	{}個
{} 个传感器	センサー{}個
{} 个应用，系统自带的不列出	アプリ{}個（標準アプリを除く）
{} 个网站	{}サイト
{} 个进程	プロセス{}個
{} 中位延迟	{} 中央値
{} 分钟	{}分
{} 可用 {} · 共 {}	{} 空き{} · 合計{}
{} 天	{}日
{} 天 {} 小时	{}日{}時間
{} 小时	{}時間
{} 小时 {} 分钟	{}時間{}分
{} 核	{}コア
{} 核图形处理器	{}コアGPU
{} 正在运行	{}は実行中です
{} 正在运行，卸载前需要先退出。	{}は実行中です。アンインストールする前に終了してください。
{} 测	{}に測定
{} 秒	{}秒
{} 秒 / {} MB	{}秒 / {} MB
{} 秒·{} MB	{}秒 · {} MB
{} 组	{}グループ
{} 缓存	{}キャッシュ
{} 英寸	{}インチ
{} 项	{}項目
{} 项 · 可直接停用	{}項目 · ここで無効にできます
{} 项 · 需要管理员权限，只读	{}項目 · 管理者権限が必要（読み取り専用）
{} 项失败	{}項目失敗
{}%（阈值 {}%）	{}%（しきい値{}%）
{}/{} 个节点连得上	{}/{}ノードに接続可能
{}{}只剩 {}%，记得充电。	{}{}のバッテリー残量は{}%です。充電してください。
{}{}（{}）	{}{}（{}）
{}。系统会自动分配任务，不用你操心	{}。タスクの割り当てはシステムが自動で行います
{}中	{}中
{}前	{}前
{}前检测	{}前に確認
{}后充满	{}後に充電完了
{}电量低	{}のバッテリー残量低下
{}（{}）	{}（{}）
{}（代理接管）	{}（プロキシが処理）
{}，{}，健康 {}	{}、{}、状態 {}
{}，后台{}	{}、バックグラウンド{}
{}：{}	{}：{}
{}：{}/{} 个节点连得上	{}：{}/{}ノードに接続可能
~/.npm/_cacache，安装依赖时自动重新下载	~/.npm/_cacache（依存関係のインストール時に再ダウンロード）
~/Library/Caches 中各应用的缓存，删除后会按需重建	~/Library/Caches内のアプリキャッシュ（必要に応じて再作成）
~/Library/Logs 中的日志和诊断报告	~/Library/Logs内のログと診断レポート
· 结果反映 XStats 自己发出的请求，按应用分流的规则下其他应用可能走不同出口	· XStats自身のリクエストの結果です。アプリ別の振り分けでは、他のアプリが異なる出口を使う場合があります
“{}”只剩 {} 可用。可以用 XStats 的清理功能释放缓存。	「{}」の空き容量は残り{}です。XStatsのクリーンアップでキャッシュを削除できます。
“{}”（{}）会移到废纸篓，可以从废纸篓放回。	「{}」（{}）をゴミ箱に移動します。ゴミ箱から元に戻せます。
、	、
一般	普通
一键安装	今すぐインストール
上传	アップロード
上传 {} · 下载 {}	送信 {} · 受信 {}
上传与下载速度、IP 地址、DNS	アップロード・ダウンロード速度、IPアドレス、DNS
上传并覆盖	アップロードして上書き
上传本机设置	このMacの設定をアップロード
上次同步：{}	最終同期：{}
上次更新：{}	最終更新：{}
上次检查 {}，最新 {}	最終確認 {}、最新 {}
上次检查发现问题	前回の確認で問題あり
上次检查正常	前回の確認は正常
上次检查：{}	最終確認：{}
上次成功：{}	前回成功：{}
最近刷新：{}	最終更新：{}
上行	アップロード
下行	ダウンロード
下载	ダウンロード
下载失败：{}	ダウンロードに失敗しました：{}
下载并应用	ダウンロードして適用
下载目录中的 .dmg / .pkg / .xip / .iso，移到废纸篓	ダウンロード内の.dmg / .pkg / .xip / .isoをゴミ箱に移動
不可用	利用不可
不在允许清理的目录内	クリーンアップが許可されたフォルダではありません
不在可卸载的位置：{}	アンインストールできない場所です：{}
不提供电量	バッテリー情報なし
不支持 IPv6	IPv6非対応
不是团队 {} 签名的完整应用（{}）	チーム{}が署名した完全なアプリではありません（{}）
不是应用程序	アプリケーションではありません
不是绝对路径	絶対パスではありません
不经过代理	プロキシなし
不能删除清理目录本身	クリーンアップフォルダ自体は削除できません
不限	制限なし
不限时	無期限
与 30 秒前持平	30秒前と同じ
丢包 {}%	パケット損失 {}%
严重	深刻
中位延迟	遅延中央値
中等负载	中程度の負荷
中等风险	中リスク
中继	リレー
主显示器	メインディスプレイ
主窗口与弹窗的配色；菜单栏始终跟随系统	メインウインドウとポップオーバーの配色。メニューバーは常にシステムに従います
云端只保存邮箱、姓名与设置文档	クラウドに保存するのはメール、名前、設定ファイルのみです
云端已有 {} 在 {} 保存的设置，和这台 Mac 上的不一样。要用哪一份？	クラウドには{}が{}に保存した、このMacとは異なる設定があります。どちらを使いますか？
交换区	スワップ
仅系统不休眠	システムのみスリープを防止
介质错误	メディアエラー
从左侧选择应用，或把应用拖到这里	左側でアプリを選ぶか、ここにドロップしてください
从未	なし
从这个节点下载测速，上限 {}	このノードからダウンロードして測定（上限{}）
代理	プロキシ
代理出口	プロキシ出口
代理出口不支持 IPv6，IPv6 连接也不会绕过代理泄露地址。	プロキシ出口はIPv6非対応ですが、IPv6接続がプロキシを迂回してアドレスを漏らすこともありません。
代理出口（{}）	プロキシ出口（{}）
代理方式	プロキシ方式
代理没有生效	プロキシが機能していません
代理软件	プロキシアプリ
以单核满载为 100%	1コアの最大使用率を100%とする
以后再说	後で
以系统权限运行的后台服务，只接受本应用的请求	このアプリからの要求のみを受け付ける、システム権限のバックグラウンドサービス
仪表盘	ダッシュボード
企业	企業
企业 IP	企業IP
企业网络	企業ネットワーク
会一并找出它留在资源库里的缓存、偏好设置、容器与登录启动项，全部移到废纸篓，可以放回	ライブラリ内のキャッシュ、環境設定、コンテナ、ログイン項目も探してゴミ箱に移動します。元に戻すこともできます
会结束这个应用的 {} 个进程，未保存的内容可能会丢失。强制退出会立即结束，不给应用保存的机会。	このアプリの{}個のプロセスを終了します。未保存の内容は失われる可能性があります。強制終了では保存の機会なく直ちに終了します。
传输速率	リンク速度
位置	場所
位置：{}	場所：{}
低负载	低負荷
低风险	低リスク
住宅 IP	住宅IP
住宅代理	住宅プロキシ
住宅宽带	家庭用回線
住宅概率	住宅回線の確率
余量 {}	余裕 {}
使用 {} 登录	{}でサインイン
使用云端设置	クラウドの設定を使用
使用历史	使用履歴
使用电池	バッテリー使用中
使用电池且电量低于该值时，自动关闭合盖运行	バッテリー残量がこの値を下回ると、蓋を閉じて動作させるモードを自動でオフにします
使用自己的 WebDAV 保存一份设置文件，仅手动上传和下载，不会自动合并。	自分のWebDAVサーバーに設定ファイルを保存します。手動でアップロード・ダウンロードでき、自動統合は行いません。
例如 1.1.1.1, 8.8.8.8	例：1.1.1.1, 8.8.8.8
保存配置	構成を保存
保持唤醒	スリープを防止
保持运行	実行を維持
信号强度	信号強度
修改 DNS 需要管理员权限：已安装辅助工具时直接修改，否则每次弹出系统授权框。	DNSの変更には管理者権限が必要です。ヘルパーがあれば直接変更でき、なければ毎回システムが許可を求めます。
修改地址	アドレスを編集
偏好设置	環境設定
偏高	高め
停止	停止
停用	無効にする
停用失败：{}	無効化に失敗しました：{}
健康 {}	状態 {}
健康度	バッテリーの状態
健康度是现在充满时的容量与出厂容量之比，低于 80% 时苹果建议更换电池	現在の満充電容量と設計容量の比率です。Appleは80%未満で交換を推奨しています
充电上限可在系统设置中设为 80%–100%，长期接电源时有助于延缓电池老化	システム設定で充電上限を80%〜100%に設定できます。電源に長時間接続する場合、バッテリーの劣化を抑えられます
充电中	充電中
充电盒	充電ケース
全局代理	全体プロキシ
全局快捷键（在任何应用中都能使用，需要包含 ⌘、⌥ 或 ⌃）	グローバルショートカット（すべてのアプリで使用可能。⌘、⌥、⌃のいずれかが必要）
全球探针看目标	世界各地からの測定
全球节点	世界のノード
全选	すべて選択
全部	すべて
全部删除	すべて削除
全部经代理	すべてプロキシ経由
公网 IP	公開IP
公网 IP 查询	公開IPを検索
公网 IPv4	公開IPv4
公网 IPv6	公開IPv6
共 {}	合計{}
共 {} 条记录	{}件の記録
共 {}，{} 个条目 · {}	合計{}、{}項目 · {}
关	オフ
关于	このアプリについて
关于 XStats	XStatsについて
关闭	オフ
其他	その他
其他位置	その他の場所
其他磁盘	その他のディスク
其他程序手动控制	別のアプリが手動制御中
其他程序控制	別のアプリが制御中
内存	メモリ
内存 {}	メモリ {}
内存与图形	メモリとグラフィックス
内存压力严重	深刻なメモリプレッシャー
内存压力严重的时段：{} 个（图上红色标记）	メモリプレッシャーが深刻な期間：{}回（グラフの赤い印）
内存压力偏高	メモリプレッシャーが高め
内存压力持续 30 秒处于严重，系统开始大量换页	深刻なメモリプレッシャーが30秒続き、システムが大量のページングを開始
内存已整理	メモリを整理しました
内存水位	メモリ使用状況
内存类型	メモリの種類
内存：{}	メモリ：{}
写入	書き込み
出口	出口
出口与分流	出口と振り分け
出口与分流：检查 VPN 与代理是否生效、各网站从哪个出口出去	出口と振り分け：VPN・プロキシの動作と、各サイトの接続先出口を確認
出口依据	判定根拠
出口未知	出口不明
出现介质错误，建议备份	メディアエラーがあります。バックアップを推奨します
分别经物理网卡、系统代理与 VPN 隧道访问检测目标，约需 10 秒。	ネットワークインターフェイス、システムプロキシ、VPNトンネルから測定対象に接続しています。約10秒かかります。
分流正常	振り分け正常
切换到浅色	ライトに切り替え
切换到深色	ダークに切り替え
刚刚	たった今
刚刚检测	たった今確認
刚刚被使用	最近使用
删除	削除
删除…	削除…
删除中…	削除中…
删除云端数据	クラウドデータを削除
删除云端数据？	クラウドデータを削除しますか？
删除全部本地快照？	すべてのローカルスナップショットを削除しますか？
删除账号、所有登录方式与云端保存的设置；这台 Mac 上的设置保留	アカウント、すべてのサインイン方法、クラウドの設定を削除します。このMacの設定は残ります
到时后自动恢复系统默认的睡眠行为。	時間が終了すると通常のスリープ動作に戻ります。
刷新	更新
刷新 DNS 缓存	DNSキャッシュを消去
刷新 DNS 缓存、释放内存、为网络服务设置 DNS 服务器	DNSキャッシュの消去、メモリの解放、ネットワークサービスのDNSサーバー設定
刷新状态	状態を更新
刷新间隔	更新間隔
刷新频率	更新頻度
剩余	残り
距重置	リセットまで
剩余 {}	残り{}
剩余寿命	残り寿命
剩余寿命 {}% · 已写入 {}	残り寿命{}% · 書き込み済み{}
剪切	カット
功耗	消費電力
包名是 {}	バンドルIDは{}
包含城市数据	都市データを含める
协议版本	プロトコルバージョン
单个节点一次测速最多花的时间与流量，先到哪个停哪个	1ノードの速度測定に使う時間と通信量の上限。どちらかに達すると停止します
单行	1行
单行文字	1行テキスト
占整机 CPU 的比例：{} 个核心全部跑满为 100%	CPU全体に対する割合：全{}コアの最大使用時を100%とする
占用	使用率
占用超过 85% 时数值与图形显示为红色	使用率が85%を超えると数値とグラフを赤で表示
占用超过 85%（电池电量低于 20%）时数值与图形显示为红色	使用率85%超（バッテリーは20%未満）で数値とグラフを赤く表示
占用高于	使用率の上限
卷	ボリューム
卸载	アンインストール
卸载“{}”？	「{}」をアンインストールしますか？
卸载失败：{}	アンインストールに失敗しました：{}
卸载应用	アプリのアンインストール
卸载辅助工具	ヘルパーをアンインストール
历史	履歴
历史记录	履歴
历史记录已关闭，下面是关闭前记录的数据。	履歴の記録はオフです。以下はオフにする前のデータです。
压力 {}	プレッシャー {}
压力{}	プレッシャー{}
压力走势	プレッシャーの推移
压缩	圧縮済み
压缩与交换	圧縮とスワップ
压缩为你省下	圧縮による節約量
压缩包里应当只有一个 .app	アーカイブには.appが1個だけ必要です
压缩比	圧縮率
原因	理由
原生 / 广播	ネイティブ / ブロードキャスト
原生 IP	ネイティブIP
去批准	承認する
去授权	アクセスを許可
双行圆点	2行ドット
双行文字	2行テキスト
双行居中	2行中央揃え
双行箭头	2行矢印
反向解析	逆引きDNS
反馈问题	問題を報告
发现新版本 {}	新しいバージョン{}があります
发现问题	問題あり
发现问题：{}	問題が見つかりました：{}
发生这些状况时发送系统通知，点通知打开对应页面	これらの状態で通知を送信します。通知をクリックすると関連ページが開きます
发送	送信
发送测试通知	テスト通知を送信
取消	キャンセル
受保护	保護されています
受保护的项目：{}	保護された項目：{}
另一台 Mac	別のMac
另有 {} 个出口，见网站分流	ほかに{}個の出口があります。「サイト別振り分け」を参照
另有 {} 移到废纸篓	さらに{}をゴミ箱に移動
另有 {} 项	ほか{}項目
只同步偏好设置，不上传监控数据、历史记录或 WebDAV 连接信息。每台 Mac 需单独配置 WebDAV。	環境設定のみ同期します。監視データ、履歴、WebDAV接続情報はアップロードしません。WebDAVはMacごとに設定してください。
只含当前用户的进程	現在のユーザーのプロセスのみ
只在打开温度与风扇页面时记录	「温度とファン」を開いている間のみ記録
只在菜单栏显示 GPU 或打开 GPU 相关页面时记录	メニューバーにGPUを表示中、またはGPU関連ページを開いている間のみ記録
只在菜单栏显示温度、开启过热通知或打开温度页面时记录	メニューバーに温度を表示中、過熱通知がオン、または温度ページを開いている間のみ記録
只在菜单栏显示电池或打开电池页面时记录	メニューバーにバッテリーを表示中、またはバッテリーページを開いている間のみ記録
只显示菜单栏时的采样间隔；打开弹窗或主窗口时为 1 秒（进程页 2 秒）	メニューバーのみ表示時の測定間隔です。ポップオーバーやウインドウ表示時は1秒（プロセスページは2秒）です
只查找以该应用包名命名的文件，以及 Application Support、Logs 下与应用同名的目录；钥匙串与其他应用共享的数据不会动。程序坞里的图标会一并移除	アプリのバンドルIDと同名のファイル、およびApplication SupportとLogs内のアプリ名と同名のフォルダのみを検索します。キーチェーンや他のアプリとの共有データには触れません。Dockのアイコンも削除します
只设置了系统代理：浏览器等应用走代理，命令行工具、游戏等不读代理设置的程序仍在直连。要接管全部流量，可以开启增强模式或 TUN 模式。	システムプロキシのみ設定されています。ブラウザなどはプロキシを使いますが、設定を参照しないコマンドラインツールやゲームは直接接続します。全通信を処理するには拡張モードやTUNモードをオンにしてください。
可以恢复，但清空废纸篓前不会释放空间	復元できますが、ゴミ箱を空にするまで容量は解放されません
可执行文件：{}	実行ファイル：{}
可清理 · 已选 {} 项	クリーンアップ可能 · {}項目選択済み
可清除	消去可能
可清除是系统随时可以腾出的缓存；访达显示的“可用”把它算在内	消去可能とはシステムがいつでも解放できるキャッシュです。Finderの「利用可能」にはこれが含まれます
可用	利用可能
可用 {}	利用可能 {}
可用 {} / 共 {}	空き{} / 合計{}
可用内存只剩 {}，系统正在压缩和交换内存。关闭不用的应用可以缓解。	利用可能なメモリが残り{}のため、圧縮とスワップを行っています。使っていないアプリを終了すると改善します。
可用空间包含系统可以随时清除的缓存，与访达显示一致	利用可能な容量には消去可能なキャッシュを含み、Finderの表示と一致します
可访问	接続可能
右侧风扇	右側ファン
右耳	右
各核心占用	コア別使用率
各核心负载	コア別負荷
各项指标正常	すべて正常です
合上屏幕时 Mac 不进入睡眠，下载、渲染、远程连接不中断。	蓋を閉じてもMacはスリープせず、ダウンロード、レンダリング、リモート接続が続きます。
合并为一个	1つにまとめる
合盖后继续运行	蓋を閉じても実行を続ける
合盖电量下限	蓋閉じモードの最低バッテリー残量
合盖睡眠	蓋を閉じるとスリープ
合盖运行	蓋を閉じて実行
合盖运行时散热变差，请勿放入包中。使用电池且电量低于 {}% 时会自动关闭。	蓋を閉じると放熱しにくくなるため、バッグに入れないでください。バッテリー使用時、残量が{}%未満になると自動でオフにします。
合盖运行设置	蓋閉じモード設定
合盖运行需要修改系统睡眠设置，需安装辅助工具（管理员授权一次）。	蓋閉じモードはシステムのスリープ設定を変更するため、ヘルパーが必要です（初回のみ管理者の承認が必要）。
同步	同期
同步失败	同期に失敗しました
同步的内容：菜单栏项目与风格、刷新频率、外观与语言、详情弹窗的区块、连接探测、通知、快捷键、风扇安全温度、合盖电量下限。当前页面、辅助工具与历史记录留在本机。	同期対象：メニューバー項目とスタイル、更新頻度、外観と言語、ポップオーバーの区画、接続確認、通知、ショートカット、ファンの安全温度、蓋閉じモードの最低残量。現在のページ、ヘルパー、履歴はこのMacに残ります。
后台低频探测	低頻度のバックグラウンド測定
启动于	起動日時
启动时和之后每天检查一次，发现新版本时显示更新摘要	起動時と毎日1回確認し、新しいバージョンがあれば更新内容を表示します
启动磁盘	起動ディスク
启动磁盘可用空间低于 10% 或 10 GB，每 10 分钟检查一次	起動ディスクの空きが10%または10 GB未満。10分ごとに確認
启动磁盘已用占比	起動ディスク使用率
启动项	起動項目
启用	有効にする
启用 {}	{}を有効にする
启用失败：{}	有効化に失敗しました：{}
哔哩哔哩	Bilibili
唤醒	ウェイクアップ
团队 {}	チーム {}
国内	中国国内
国内分省三网延迟	中国各省・3大通信事業者の遅延
国内网站也绕到了{}，访问会变慢，也可能触发风控。	中国国内のサイトも{}を経由しており、遅くなったりセキュリティ確認が発生したりする場合があります。
国内网站直连，国际网站经 {} 的{}。	中国国内のサイトは直接接続し、国外のサイトは{}の{}を経由します。
国内网站走了代理，访问会绕路变慢。	中国国内のサイトもプロキシを経由しているため、遠回りになり遅くなります。
国内网络建议选阿里云或腾讯；选路由器只检测本地连接	中国国内ではAlibaba CloudまたはTencentを推奨します。ルーターではローカル接続のみ確認します
图形	グラフィックス
图形处理器	GPU
图形核心	GPUコア
图标	アイコン
圆环	リング
圆环表示当前占用比例	リングは現在の使用率を示します
在 cleanip.io 查看这个 IP 的完整报告	cleanip.ioでこのIPの詳細レポートを開く
在主窗口打开“{}”	メインウインドウで「{}」を開く
在程序坞显示图标	Dockにアイコンを表示
在线升级	オンライン更新
在线升级：发现新版本时显示更新摘要，一键安装并自动重启	オンライン更新：更新内容を表示し、ワンクリックでインストールして自動再起動
在菜单栏显示	メニューバーに表示
在菜单栏显示{}	メニューバーに{}を表示
在访达中显示	Finderに表示
型号	モデル
域名，例如 example.com	ドメイン（例：example.com）
处理器	プロセッサ
处理器核心	CPUコア
备用空间	予備領域
备用空间低于阈值，建议备份	予備領域がしきい値未満です。バックアップを推奨します
外置硬盘、U 盘、镜像与网络共享	外付けドライブ、USBメモリ、ディスクイメージ、ネットワーク共有
外观	外観
存储	ストレージ
它只做这几件事	機能は以下に限られます
安全温度	安全温度
安装	インストール
安装包	インストーラ
安装包不支持这台 Mac 的芯片	この更新はこのMacのチップに対応していません
安装包内容不正确：{}	更新パッケージが正しくありません：{}
安装包校验值与版本清单不一致，已放弃安装	チェックサムがバージョン一覧と一致しないため、インストールを中止しました
安装失败：{}	インストールに失敗しました：{}
安装辅助工具	ヘルパーをインストール
安静	静か
定时 ping 一个地址，记录网络是否通畅	定期的にアドレスへpingを送信し、接続状態を記録します
定时探测网络	接続を定期確認
实测	実測
家目录	ホームフォルダ
容量	容量
密码仅保存在这台 Mac 的钥匙串中	パスワードはこのMacのキーチェーンにのみ保存します
密码或应用专用密码	パスワードまたはアプリ用パスワード
导出…	書き出す…
导出失败：{}	書き出しに失敗しました：{}
导出时间	書き出し日時
导出诊断信息	診断情報を書き出す
寿命偏低，注意备份	残り寿命が少なめです。バックアップしてください
寿命按厂商估算的已用比例计算；写入量越大消耗越快，日常使用通常可用很多年	寿命はメーカーの摩耗推定値に基づきます。書き込み量が多いほど消耗しますが、通常の使用では長年使えます
